a0_address,b0_price,c0_unit_price,d0_unitPercent,e0_income,f0_remuneration,g0_multiplier,h0_agreement_term,i0_agreement_remaining,j0_agreement_age,k0_total_unit,l0_rePerUnit,m0_owner_occupy,n0_letting,o0_iPerRent,p0_look_ups,q0_outside_agents,r0_manager_bed,s0_manager_bathroom,t0_manager_car,u0_office,v0_office_hour,w0_agency,x0_agent,y0_complex_fetures,z0_url,z1_title,z2_description,z3_unit_feature,z4_pets,z5_last_update,z6_property_id
"Newstead,",2820000,0,0.0,470000,187903,6.0,"25 years,","22 years,","3 years,",147,1278.25,9,119,2370.56,0,19,0,0, 0,0," 0,
                        ",,"Paul Kiehne,Paul Kiehne"," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Newstead-QLD-3882576,"Business Only - Established and Low Maintenance
              ","RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. "," 
                       ","Yes,", 3 weeks ago., 3882576
"Spring Hill,",970000,490000,0.51,108884,52890,4.4,"25 years,","20 years,","18 years,",31,1706.13,3,22,2545.18,0,4,2,2, 2,1," 0,
                        ", Raine & Horne Onsite Rights,"Mark Fluhart,Mark Fluhart"," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3859839,"LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              ","This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. "," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       ","No,", 1 week ago., 3859839
"Windsor,",710000,0,0.0,131612,49600,0.0,"25 years,","23 years,","2 years,",44,1127.27,1,42,1952.67,0,1,0,0, 0,0," None,
                        ", Raine & Horne Onsite Rights,"Joanne Piercy,Joanne Piercy"," Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Windsor-QLD-3883221,"Business Only Mangement Rights in Prime Location
              ","Just listed.,This extremely appealing complex that ticks all of the wish list boxes for a purchaser.,No Office hours.,No requirement to live on site.,Long term agreements.,Great tenant appeal due to the location and unit inclusions.,Easy to maintain grounds.,Well run business allowing for a smooth transition period at purchase.,Good committee relationship.,Maintenance done by a handyman.,P & L verified by an industry accountant.,Excellent standalone or add on business. "," No unit to buy and no requirement to live onsite.
                       ","Yes,", 2 weeks ago., 3883221
"Eight Mile Plains,",Contact the Sire team,650000,0,243086,104046,5.5,"25 years,","21 years,","9 years,",,0,0,,0,0,0,4,2, 0,1," NO,
                        ", SIRE Management Rights,"Richard Skiba and Jessica Dong,Richard Skiba and Jessica Dong"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881971,"Great Lifestyle Business
              ","Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! "," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       ","No,", 1 week ago., 3881971
"Bulimba,",1985000,785000,0.4,231000,118131,5.2,"25 years,","20 years,","0 years,",95,1243.48,44,52,2170.56,0,11,3,2, 2,1," ,
                        ", Resort Brokers,"Brent Staker,Brent Staker"," Two pools, two BBQs
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3878757,"Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              ","Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties"," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       ","yes,", 1 week ago., 3878757
"Newstead,",575208,0,0.0,110617,51984,5.2,"25 years,","23 years,","0 years,",35,1485.26,6,48,1221.52,0,7,0,0, 0,0," No,
                        ", Resort Brokers,"Jessica  Wilkie,Jessica  Wilkie"," rooftop entertainment area
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Newstead-QLD-3881065,"Business Only In Newstead! Very Low Maintenance! Perfect Add On! | Resort Brokers ID : MRB005338
              ","Genuine Business-Only Management Rights in the heart of Newstead. There is  no need to buy real estate or live onsite and there are no set office hours.  Extremely low maintenance building with a rooftop entertainment area however there is no pool, gym or any mowing! The building consists of 48 stunning one and two bedroom apartments with 35 in the letting pool."," 
                       ","no,", 1 month ago., 3881065
"Hamilton,",3400000,600000,0.18,536838,37863,5.2,"25 years,","22 years,","0 years,",32,1183.22,0,32,15592.97,0,0,0,0, 0,0," No set office hours,
                        ", Resort Brokers,"Gareth Closter,Gareth Closter"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Hamilton-QLD-3880774,"Near City Boutique Offering with $530K+ Nett Income | Resort Brokers ID : MRB005327
              ",The offering of the Management Rights to Link at Portside represents an outstanding opportunity to secure a business with a high net income towards $600k p.a with no requirement to reside onsite or own a unit within the agreements. Going concern Management Rights of this scale in Brisbane are extremely rare and we recommend your serious consideration of this high quality offering.," This is a rare opportunity to purchase a business of this scale with NO residential real estate involved in the transaction. The opportunity is however complemented by a 47m2 office in addition to the 7m2 office on occupation authority. The owner of the business could sub divide this area and lease a portion out or could establish a property management business and offer management services to investors who have units in the area.
                       ","no,", 2 months ago., 3880774
"Auchenflower,",1171400,750000,0.64,108051,71048,3.9,"25 years,","8 years,","0 years,",41,1732.88,26,16,2312.69,0,2,2,2, 0,0," NIL,
                        ", Resort Brokers,"Nathan Eades,Nathan Eades"," Pool, BBQ, tennis court
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Auchenflower-QLD-3879650,"Luxury Living with a 3.9x multiplier! | Resort Brokers ID : MR005304
              ",Featuring 41 units with 13 in the letting pool with strong upside still possible. This complex offers a lavish and spacious office that would rival any onsite office in the country. An arsenal of caretaking equipment supplied by the body corporate gives any operator a walk up start in this riverfront complex.," This luxurious managers unit is a ground floor two
bedroom and two bathroom unit with an open
plan executive kitchen. The entire unit flows from
bedrooms to the kitchen and features river & city
views. Ample car parking and storage exists
onsite for the manager.
                       ","no,", 2 months ago., 3879650
"Browns Plains,",1548000,550000,0.36,195718,71708,5.1,"25 years,","22 years,","0 years,",62,1156.58,16,43,2883.95,0,3,4,3, 6,1," None on Agreement,
                        ", Next International Realty Pty Ltd,"David Jiang,David Jiang"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/BrownsPlains-QLD-3876225,"Good Permanent Management Rights in Brisbane Southside
              ","Great Complex,The Phil Usher built townhouses complex is situated in Brown Plains, a rapidly growing suburb offering convenient travel between Gold Coast and Brisbane via the Pacific and Logan motorways. ,Lovely swimming pool, entertainment area with undercover BBQ, well-equipped Gym will definitely be enjoyed in summer. ,Good rental and very popular for renters.,Handy Location,Conveniently located in a highly sought after position - a quiet and leafy road end environment, near Browns Plains shopping plaza precinct with specialty shopping, restaurants, cinemas and bus station serving all suburbs and the city.,Great Remuneration,$71,708 with annual adjustment of CPI,Long Agreement,Still 22 years left on agreement.,Fantastic Manager Residence,A very spacious size, standing alone, lowset villa with solar panels comfortably suits all your family's needs,- 896 m2 land size,- Fully fenced house with security,- Large backyard for big families,- Up to six car parks,- Self-contained granny flat which has been rented out at $260 per week,Good Size Office attached without office hours on agreement.,If you want to buy a big and solid income and lifestyle business, it ticks all your boxes, please book your inspection immediately with our NEXT team. "," 
                       ","No,", 2 weeks ago., 3876225
"Lutwyche,",510016,0,0.0,98080,50915,5.2,"25 years,","24 years,","0 years,",49,1039.08,0,31,1521.45,0,0,0,0, 0,0," no set hours,
                        ", Resort Brokers,"Jessica  Wilkie,Jessica  Wilkie"," BBQ
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Lutwyche-QLD-3884008,"19% ROI Business Only Managements Rights - 10 Mins From CBD | Resort Brokers ID : MRB005414
              ",Business Only Management Rights - There is no need to buy real-estate or live onsite and there are no set office hours. 23&24 year brand new agreements!," 
                       ","yes,", 4 days ago., 3884008
