other_feature,floorplan,url,outdoor_feature,rental_yield,street_address,allowance,post_code,property_id,description,property_type,title,bond,bed,car,crawl_date,agent,median_rent,date_available,bathroom,suburb,agency,indoor_feature
,Not provided,https://www.realestate.com.au/property-house-qld-oxley-424737702,"Garage Spaces:,1","<span class=""rate""></span>",63 Englefield Road,,4075,"[424737702, 424737702]","Fall in love with the charm of this property, offering 2 bedrooms and a small sleep out to front, great space for a study, internally has had some improvements, including renovated kitchen with great storage and lots of bench space and near new carpets and paint throughout, ideal for a couple or small family.",House,Renovated Cottage - Large Yard,"$1,400",3,1,"[datetime.date(2018, 9, 26)]",Melina Reardon,"<span class=""price""></span>",Fri 12-Oct-18,1,Oxley,First National - Springfield,
,Not provided,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424738962,"Garage Spaces:,3","<span class=""rate""></span>",273 Kenmore Road,,4069,"[424738962, 424738962]","The grandest of living spaces awaits you at 273 Kenmore Road. With a complete renovation of the kitchen, bathrooms and floors you'll be delighted by the possibilities this property affords.",House,Grand Design with River Views,"$3,800",5,3,"[datetime.date(2018, 9, 26)]",Rentals Indooroopilly,"<span class=""price""></span>",Mon 08-Oct-18,3,Fig Tree Pocket,Ray White Indooroopilly - INDOOROOPILLY,
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Not provided,https://www.realestate.com.au/property-unit-qld-sherwood-424678210,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",10/21 Skew Street,,4075,"[424678210, 424678210]",This wonderful double brick unit presents low maintenance domains in a fantastic location next to Sherwood Shopping Village and within 100m to Sherwood train station and Sherwood State School. Its practical and light-infused floor plan features a generous living/dining area which adjoins the tidy kitchen. ,Unit,PERFECTLY PRICED - MODERN 2 BEDROOM UNIT,"$1,380",2,1,"[datetime.date(2018, 9, 26)]",Zoe Wales,"<span class=""price""></span>",Fri 26-Oct-18,1,Sherwood,Ray White Sherwood/Graceville,
"Close to Shops, Close to Transport",Not provided,https://www.realestate.com.au/property-unit-qld-sherwood-424750538,"Garage Spaces:,1","<span class=""rate""></span>",1/57 Hood Street,,4075,"[424750538, 424750538]","Two bedroom unit on the first floor with balcony, one bathroom, laundry in the large storage room and one lock-up car accommodation. Short walk to shops and transport.",Unit,FIRST FLOOR TWO BEDROOM UNIT,"$1,240",2,1,"[datetime.date(2018, 9, 26)]",Rentals Department,"<span class=""price""></span>",Thu 04-Oct-18,1,Sherwood,Poulsen Property - Graceville,
,Not provided,https://www.realestate.com.au/property-townhouse-qld-sherwood-424745486,"Remote Garage,Secure Parking,Garage Spaces:,1,Fully Fenced","<span class=""rate""></span>",4/546 Oxley Road,,4075,"[424745486, 424745486]",This townhouse is positioned at the back of the complex away from the main road with easy access. Your own private courtyard fully covered for easy entertainment.,Townhouse,Low maintenance townhouse living in an ultra-convenient locale.,"$1,720",3,1,"[datetime.date(2018, 9, 26)]","Jaclyn Lazarou,Jonathan Najarro","<span class=""price""></span>",Available Now,3,Sherwood,Place - Graceville,"Ensuite:,1,Living Areas:,1,Toilets:,3,Built-in Wardrobes,Dishwasher,Ducted Heating,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-sherwood-421621206,"Carport Spaces:,1,Deck","<span class=""rate""></span>",6 Magazine Street,,4075,"[421621206, 421621206]","Located in a leafy quiet street in Sherwood, this 3 bedroom cottage is neat and tidy and ready for someone to call it home.",House,Cute Little Cottage in High-side Sherwood,"$1,680",3,1,"[datetime.date(2018, 9, 26)]",Yvette La Burniy,"<span class=""price""></span>",Available Now,1,Sherwood,BOUTIQUE PROPERTY MANAGERS,"Living Areas:,1,Built-in Wardrobes"
,Not provided,https://www.realestate.com.au/property-unit-qld-darra-422913938,"Garage Spaces:,1","<span class=""rate""></span>",6/32 Harcourt Road,,4076,"[422913938, 422913938]","Tidy unit with 2 roomy bedrooms, main with build in wardrobe, a spacious carpeted lounge room with air conditioning and renovated kitchen. Small complex with 10 units. Close to Darra Train Station, Ipswich Motorway and within walking distance to Darra State School.",Unit,Close to Motorway - Tidy 2 Bedroom Unit!,"$1,000",2,1,"[datetime.date(2018, 9, 26)]",Melina Reardon,"<span class=""price""></span>",Fri 28-Sep-18,1,Darra,First National - Springfield,
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",https://www.realestate.com.au/floorplan_new.ds?id=424754170&theme=rea.rent,https://www.realestate.com.au/property-townhouse-qld-richlands-424754170,"Garage Spaces:,1,Swimming Pool - Inground","<span class=""rate""></span>",31/35 Brentford Road,,4077,"[424754170, 424754170]",*** HOW TO INSPECT THIS HOME DETAILS BELOW ***,Townhouse,Beauty In Brentford! - 1 Week Free Rent**,"$1,400",3,1,"[datetime.date(2018, 9, 26)]","Lyndal Morrison,Angel Plummer","<span class=""price""></span>",Wed 17-Oct-18,2,Richlands,Ray White Forest Lake,"Toilets:,3,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-house-qld-sherwood-424761106,"Secure Parking,Garage Spaces:,2,Balcony","<span class=""rate""></span>",44 Chancellor Street,Pet Friendly,4075,"[424761106, 424761106]","This larger than it looks home offers great 1960's architecture including high ceilings, large casement windows, mezzanine hallway, hardwood polished floors and a welcoming front porch. Neatly presented with fresh modern paint, ceilings fans, screens and newly polished floors throughout.",House,"Fresh Paint, Polished Floors and Fabulous Position.","$2,120",4,2,"[datetime.date(2018, 9, 26)]","Melinda Beckinsale,Zoe Wales","<span class=""price""></span>",Thu 27-Sep-18,1,Sherwood,Ray White Sherwood/Graceville,"Toilets:,1,Floorboards,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-house-qld-riverhills-418493518,"Carport Spaces:,2","<span class=""rate""></span>",5 Miena Close,Pet Friendly,4074,"[418493518, 418493518]","This neat and tidy family home is located in a quiet street walking distance to schools, daycare and city bus. Short drive to Middle Park shops and Mt Ommaney shopping centre. ",House,Family Home in Quiet Street with Large Backyard,"$1,580",3,2,"[datetime.date(2018, 9, 26)]","Satvir Nassar,Lauren Matbouly","<span class=""price""></span>",Available Now,1,Riverhills,Brisbane Real Estate - Indooroopilly,"Toilets:,1"
"Close to Schools, Close to Shops, Close to Transport",https://www.realestate.com.au/floorplan_new.ds?id=424783442&theme=rea.rent,https://www.realestate.com.au/property-house-qld-inala-424783442,"Garage Spaces:,1","<span class=""rate""></span>",54 Aldebaran Street,,4077,"[424783442, 424783442]",**HOW TO INSPECT THE HOME DETAILS BELOW** ,House,LOW MAINTENANCE LIVING CLOSE TO ALL AMENITIES,"$1,280",3,1,"[datetime.date(2018, 9, 26)]",Simon Le,"<span class=""price""></span>",Mon 01-Oct-18,1,Inala,Ray White Forest Lake,
,Not provided,https://www.realestate.com.au/property-unit-qld-graceville-424779722,"Garage Spaces:,1","<span class=""rate""></span>",4/225 Oxley Road,,4075,"[424779722, 424779722]",This super trendy unit is being offered for rent in one of the most tightly held locations in Graceville. ,Unit,LIFESTYLE AND LOCATION,"$1,280",2,1,"[datetime.date(2018, 9, 26)]",Zoe Wales,"<span class=""price""></span>",Wed 07-Nov-18,1,Graceville,Ray White Sherwood/Graceville,
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",https://www.realestate.com.au/floorplan_new.ds?id=423217858&theme=rea.rent,https://www.realestate.com.au/property-townhouse-qld-sherwood-423217858,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",11/39 Magazine Street,,4075,"[423217858, 423217858]","This brand new architecturally designed Villa is an absolute pleasure to walk into. It is a lifestyle property set among a blue ribbon river precinct area, within meters of the river and Sherwood Arboretum, but still only walking distance to CBD trains, transport, shops, cafes and restaurants.",Townhouse,BRAND NEW - ARCHITECTURALLY DESIGNED,"$2,120",2,1,"[datetime.date(2018, 9, 26)]",Zoe Wales,"<span class=""price""></span>",Thu 11-Oct-18,2,Sherwood,Ray White Sherwood/Graceville,"Toilets:,2,Alarm System,Floorboards,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-unit-qld-graceville-405181264,"Carport Spaces:,1","<span class=""rate""></span>",1/112 White Street,,4075,"[405181264, 405181264]","Excellent value unit, renovated and excellent location.",Unit,Breezey Apartment By The River,"$1,000",2,1,"[datetime.date(2018, 9, 26)]",Place Annerley Rentals,"<span class=""price""></span>",Available Now,1,Graceville,Place - Annerley,"Toilets:,1"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",https://www.realestate.com.au/floorplan_new.ds?id=424641186&theme=rea.rent,https://www.realestate.com.au/property-house-qld-corinda-424641186,"Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground","<span class=""rate""></span>",16 Oxley Terrace,Pet Friendly,4075,"[424641186, 424641186]",Maximising every inch of its low maintenance block this prestigious home boasts living and entertaining zones to accommodate even the largest of families. ,House,PRESTIGIOUS RESIDENCE IN HIGHSIDE POSITION,"$4,780",5,2,"[datetime.date(2018, 9, 26)]","Melinda Beckinsale,Zoe Wales","<span class=""price""></span>",Available Now,4,Corinda,Ray White Sherwood/Graceville,"Floorboards,Air Conditioning"
,https://www.realestate.com.au/floorplan_new.ds?id=424619418&theme=rea.rent,https://www.realestate.com.au/property-house-qld-graceville-424619418,"Remote Garage,Secure Parking,Garage Spaces:,1,Open Car Spaces:,1,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground","<span class=""rate""></span>",20 Randolph Street,,4075,"[424619418, 424619418]",This home in the highly sought after Graceville Corridor has all the modern conveniences that one would like.,House,Modern splendour in sought after Graceville Corridor,"$3,400",4,2,"[datetime.date(2018, 9, 26)]",Property Management Department,"<span class=""price""></span>",Thu 04-Oct-18,2,Graceville,Belle Property - Sherwood,"Workshop,Floorboards,Built-in Wardrobes,Dishwasher,Ducted Heating,Ducted Cooling,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-apartment-qld-oxley-424659734,"Carport Spaces:,1,Balcony","<span class=""rate""></span>",104/61 Ellen Street,,4075,"[424659734, 424659734]",Move in within 24 hours of approval,Apartment,Everyone Gets A Bathroom,"$1,760",2,1,"[datetime.date(2018, 9, 26)]",Michelle Pedersen,"<span class=""price""></span>",Available Now,2,Oxley,My Pad Real Estate.com,"Built-in Wardrobes,Dishwasher,Split-system Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-inala-424670598,"Garage Spaces:,1","<span class=""rate""></span>",130 Crocus Street,,4077,"[424670598, 424670598]","Introducing this tidy home, inside and out, offering 3 large bedrooms, main with ensuite bathroom, lovely polished timber flooring throughout and kitchen and bathroom have been renovated. Within walking distance to Glenala Road School or a short drive to local shops, public transport and Inala Civic Center.",House,Within walking distance to Glenala Road School - Ensuite Bathroom!,"$1,260",3,1,"[datetime.date(2018, 9, 26)]",Melina Reardon,"<span class=""price""></span>",Fri 28-Sep-18,2,Inala,First National - Springfield,
,Not provided,https://www.realestate.com.au/property-house-qld-chelmer-419327482,"Remote Garage,Secure Parking,Garage Spaces:,3,Open Car Spaces:,3,Balcony,Deck,Fully Fenced,Swimming Pool - Inground","<span class=""rate""></span>",47 Sutton Street,Pet Friendly,4068,"[419327482, 419327482]","An idyllic lifestyle on the Brisbane River, providing direct access to all the river activities with a jetty. ",House,Amazing opportunity to secure prime riverfront location,"$6,000",5,6,"[datetime.date(2018, 9, 26)]",Summer Finlay,"<span class=""price""></span>",Thu 25-Oct-18,5,Chelmer,Premium Residential,"Ensuite:,3,Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-unit-qld-corinda-424678630,"Secure Parking,Garage Spaces:,1","<span class=""rate""></span>",5/58 Nelson Street,,4075,"[424678630, 424678630]",This neatly presented unit is in the heart of it all! ,Unit,Location and Affordability is the Key!!!,"$1,240",2,1,"[datetime.date(2018, 9, 26)]",Yvette La Burniy,"<span class=""price""></span>",Available Now,1,Corinda,BOUTIQUE PROPERTY MANAGERS,Built-in Wardrobes
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-house-qld-sherwood-419328478,"Secure Parking,Garage Spaces:,2,Balcony","<span class=""rate""></span>",43 Chancellor Street,,4075,"[419328478, 419328478]","This beautiful Queenslander is opening its doors to a new family! Double french doors at the front, following the breeze to the back entertainers deck through the open plan kitchen, living and dining. Practical space and layout is what makes this the perfect family home. This is a must inspect to believe it! The hardest decision you will have to make is having your morning coffee on the front porch, or the back deck.",House,FAMILY ENTERTAINERS DELIGHT,"$2,500",4,2,"[datetime.date(2018, 9, 26)]",Zoe Wales,"<span class=""price""></span>",Fri 02-Nov-18,2,Sherwood,Ray White Sherwood/Graceville,"Floorboards,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",https://www.realestate.com.au/floorplan_new.ds?id=424687362&theme=rea.rent,https://www.realestate.com.au/property-unit-qld-sherwood-424687362,"Garage Spaces:,1,Balcony","<span class=""rate""></span>",203/60 Hood Street,,4075,"[424687362, 424687362]","Showcasing plenty of sunlight and breezes throughout, this never-been-lived-in apartment is located in the highly regarded blue ribbon suburb of Sherwood.",Unit,"AVAILABLE NOW, ALL YOURS","$1,540",2,1,"[datetime.date(2018, 9, 26)]",Zoe Wales,"<span class=""price""></span>",Available Now,2,Sherwood,Ray White Sherwood/Graceville,"Toilets:,2,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-riverhills-422316318,"Garage Spaces:,2,Fully Fenced","<span class=""rate""></span>",9 Trephina Close,Pet Friendly,4074,"[422316318, 422316318]",Positioned on fully fenced level parcel in Riverhills is this family home in a quiet cal-de-sac is available on now. ,House,GOOD FAMILY HOME IN GREAT LOCATION,"$1,640",4,2,"[datetime.date(2018, 9, 26)]","Adam Workman,Katy Lightwood","<span class=""price""></span>",Mon 01-Oct-18,2,Riverhills,RE/MAX Ignite - RIVERHILLS,"Built-in Wardrobes,Pay TV Access,Dishwasher,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-darra-424689066,Fully Fenced,"<span class=""rate""></span>",2661 Ipswich Road,Pet Friendly,4076,"[424689066, 424689066]","Perfect for the whole family with plenty of space for everyone on this 1,037 m2 block.",House,Dual Living in Darra!,"$1,800",5,,"[datetime.date(2018, 9, 26)]","Maya Yada,Kahlee Hassan","<span class=""price""></span>",Fri 28-Sep-18,2,Darra,Coronis - FOREST LAKE,"Toilets:,2,Dishwasher,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",https://www.realestate.com.au/floorplan_new.ds?id=424692214&theme=rea.rent,https://www.realestate.com.au/property-unit-qld-sherwood-424692214,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",10/16 McCulla Street,,4075,"[424692214, 424692214]","This two bedroom unit in the heart of Sherwood is in easy walking distance to Sherwood Train Station, Woolworths, the Sherwood Shopping precinct, parks, bike ways, schools and numerous restaurants.",Unit,2 BEDROOM UNIT IN THE HEART OF SHERWOOD,"$1,200",2,1,"[datetime.date(2018, 9, 26)]",Rentals Department,"<span class=""price""></span>",Available Now,1,Sherwood,Poulsen Property - Graceville,
,Not provided,https://www.realestate.com.au/property-duplex+semi+detached-qld-riverhills-424695130,"Garage Spaces:,1","<span class=""rate""></span>",19B Sawmill Cct,,4074,"[424695130, 424695130]","This beautiful near new duplex is located in the highly sought after and peaceful suburb of Riverhills. This unit contains 2 Bedrooms, 2 Bathrooms with a Master Ensuite and 1 lock up garage with internal access. Open plan living with elegant outdoor entertaining area and a big back yard.",Duplex/Semi-Detached,BEAUTIFUL ALMOST NEW DUPLEX!,"$1,480",2,1,"[datetime.date(2018, 9, 26)]",Steve Hoo,"<span class=""price""></span>",Wed 10-Oct-18,2,Riverhills,Optime Properties - RIVERHILLS,
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-house-qld-inala-424690906,"Secure Parking,Garage Spaces:,1","<span class=""rate""></span>",53 Frangipani St,Pet Friendly,4077,"[424690906, 424690906]",***HOW TO INSPECT THIS PROPERTY DETAILS BELOW***,House,NEAT FAMILY HOME CLOSE TO ALL AMENITIES,"$1,320",3,1,"[datetime.date(2018, 9, 26)]","Kerryanne Drummond,Simon Le","<span class=""price""></span>",Available Now,1,Inala,Ray White Forest Lake,"Toilets:,1,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-graceville-423691814,"Garage Spaces:,2,Swimming Pool - Inground","<span class=""rate""></span>",87 White Street,,4075,"[423691814, 423691814]","From the premiere street setting to the light filled and open plan indoor and outdoor living spaces; this magnificent newly constructed designer residence exceeds all first impressions by showcasing a spacious, layout with the discerning resident in mind. Intended to provide a relaxed haven, this home is perfectly positioned moments away from local café's, restaurants, cinema and shopping precincts, train station, and quality schools including St Aidan's Anglican Girls School and Brisbane Boys College along with a variety of primary schools, whilst being only 8km from Brisbane's CBD and nearby to University of Queensland.",House,New executive home!,"$3,600",5,2,"[datetime.date(2018, 9, 26)]",Louise Hood,"<span class=""price""></span>",Fri 05-Oct-18,3,Graceville,RE/MAX Riverside - Graceville,"Built-in Wardrobes,Dishwasher,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-chelmer-424704598,"Secure Parking,Garage Spaces:,2,Fully Fenced","<span class=""rate""></span>",20 Laurel Avenue,,4068,"[424704598, 424704598]",This charming brick home is spread over two spacious levels offering all the comforts you could ask for.,House,Come and See this Spectacular Beauty on Laurel Ave,"$4,920",4,2,"[datetime.date(2018, 9, 26)]","Jaclyn Lazarou,Jonathan Najarro","<span class=""price""></span>",Available Now,2,Chelmer,Place - Graceville,"Ensuite:,1,Living Areas:,2,Toilets:,3,Intercom,Built-in Wardrobes,Dishwasher,Ducted Vacuum System,Split-system Air Conditioning,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-423298342,"Carport Spaces:,4,Outdoor Entertaining Area,Fully Fenced","<span class=""rate""></span>",54 Mandalay Street,,4069,"[423298342, 423298342]","Located in sought after Mandalay Estate, Fig Tree Pocket, this beautiful home will not last.",House,Fabulous Family Home in Fig Tree Pocket,"$2,800",6,4,"[datetime.date(2018, 9, 26)]",Leasing Team,"<span class=""price""></span>",Tue 23-Oct-18,3,Fig Tree Pocket,JDC Property Group - New Farm,"Ensuite:,2,Built-in Wardrobes,Dishwasher,Air Conditioning"
0,Not provided,https://www.realestate.com.au/property-unit-qld-corinda-424681538,"Remote Garage,Garage Spaces:,1,Balcony","<span class=""rate""></span>",5/17 Donaldson Street,,4075,"[424681538, 424681538]","Come and inspect this great two bedroom, single bathroom property. It is positioned at the top rear of the building. Bathroom previously renovated, remote lock up garage and Air Conditioning and ceiling fans. Located just across the road from Coles supermarket and the Sherwood Services Club, Library and less than 100 meters to the Corinda train station.",Unit,Great Location!!,"$1,200",2,1,"[datetime.date(2018, 9, 26)]",Contact Rentals,"<span class=""price""></span>",Wed 07-Nov-18,1,Corinda,Activerealestate.com.au - .,"Toilets:,1,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning"
,https://www.realestate.com.au/floorplan_new.ds?id=421156430&theme=rea.rent,https://www.realestate.com.au/property-townhouse-qld-richlands-421156430,"Remote Garage,Secure Parking,Garage Spaces:,1,Courtyard,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground","<span class=""rate""></span>",The Grove /7 Giosam Street,,4077,"[421156430, 421156430]","Azure Living is pleased to present to you The Grove Edition, Richlands. A master-planned community of 3 and 4 bedroom terraces featuring an outdoor pool and entertainment area. Surrounded by subtropical landscaping and nestled within the growing Western suburb of Richlands. Spanning over two levels, this contemporary terrace home is an impeccable fusion of space and convenience.",Townhouse,Inspired Master-Planned Living,,3,1,"[datetime.date(2018, 9, 26)]",Syd & Fem Douglas,"<span class=""price""></span>",Available Now,2,Richlands,Azure Living - QLD,"Ensuite:,1,Toilets:,3,Floorboards,Broadband Internet Available,Built-in Wardrobes,Reverse-cycle Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-graceville-424704634,"Remote Garage,Deck,Fully Fenced","<span class=""rate""></span>",149 Strong Avenue,,4075,"[424704634, 424704634]",This character filled property has traditional elegance with modern design to offer all the conveniences you would expect.  Spread over 2 generous levels this beautifully presented home has it all.,House,Elegance in Central Graceville,"$2,760",3,,"[datetime.date(2018, 9, 26)]","Jonathan Najarro,Jaclyn Lazarou","<span class=""price""></span>",Available Now,3,Graceville,Place - Graceville,"Ensuite:,1,Living Areas:,2,Toilets:,3,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning"
"Property Type: House Property Features: Unfurnished, Pets Allowed",Not provided,https://www.realestate.com.au/property-house-qld-darra-423638534,"Carport Spaces:,2,Garage Spaces:,2","<span class=""rate""></span>",24 Harcourt Road,Pet Friendly,4076,"[423638534, 423638534]","Positioned on Harcourt Rd Darra this original home is in the heart of a growing area offering a superb lifestyle, moments from popular cafes, the new Darra train and bus interchange with easy access to the Ipswich Motorway and Centenary Highway, local shops and a number of quality schools for all ages. ",House,Just Walk Right In And Start Living Here,,3,4,"[datetime.date(2018, 9, 26)]","Cassie Turner,Maddison Gleeson","<span class=""price""></span>",Available Now,1,Darra,Harcourts Local,
,Not provided,https://www.realestate.com.au/property-house-qld-chelmer-424673114,"Secure Parking,Balcony","<span class=""rate""></span>",11 Honour Avenue,,4068,"[424673114, 424673114]",This cute but very affordable 3 bedroom cottage is located on Chelmer's much sought after high-side.,House,Very cute and very affordable cottage on Chelmer's high-side... with river views!!!,"$1,920",3,,"[datetime.date(2018, 9, 26)]",Contact Agent Cardinal Land,"<span class=""price""></span>",Available Now,1,Chelmer,Cardinal Land,
,Not provided,https://www.realestate.com.au/property-house-qld-inala-424593666,"Open Car Spaces:,1,Shed","<span class=""rate""></span>",16 Sunbird Street,,4077,"[424593666, 424593666]","This home has been freshly renovated and just awaiting its new tenants!! If you would like to live close to local shops, transport and amenities then this is the home for you.",House,WELL PRESENTED 3 BEDROOM HOUSE,"$1,140",3,1,"[datetime.date(2018, 9, 26)]",John Lui,"<span class=""price""></span>",Available Now,1,Inala,Manage My Property,"Toilets:,1,Floorboards"
,https://www.realestate.com.au/floorplan_new.ds?id=424462110&theme=rea.rent,https://www.realestate.com.au/property-house-qld-jindalee-424462110,"Carport Spaces:,2,Outdoor Entertaining Area","<span class=""rate""></span>",24 Canowindra St,,4074,"[424462110, 424462110]","FRESHLY RENOVATED, SPACIOUS & STYLISH",House,CALL TO ARRANGE A PRIVATE VIEWING TODAY!,"$1,800",3,2,"[datetime.date(2018, 9, 26)]","Chris Gordon,Megan Kelada","<span class=""price""></span>",Available Now,2,Jindalee,E Residential,"Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher"
,https://www.realestate.com.au/floorplan_new.ds?id=424308794&theme=rea.rent,https://www.realestate.com.au/property-house-qld-jamboree+heights-424308794,"Carport Spaces:,2,Outdoor Entertaining Area,Swimming Pool - Inground","<span class=""rate""></span>",33 Pennant St,Pet Friendly,4074,"[424308794, 424308794]","This home is a modern 4 bedroom 2 bathroom family home. It features an open plan Air-Conditioned living area with raked ceiling. Neat and spacious eat-in kitchen which includes integrated dishwasher, stainless appliances and plenty of cupboard and bench space.",House,FAMILY HOME WITH POOL IN QUIET LOCATION,,4,2,"[datetime.date(2018, 9, 26)]","Chris Gordon,Iszabel Lees","<span class=""price""></span>",Available Now,2,Jamboree Heights,E Residential,"Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning"
"Close to Schools, Close to Shops, Close to Transport, Prestige Homes",https://www.realestate.com.au/floorplan_new.ds?id=424529854&theme=rea.rent,https://www.realestate.com.au/property-house-qld-sherwood-424529854,"Remote Garage,Garage Spaces:,2,Open Car Spaces:,2,Courtyard,Fully Fenced","<span class=""rate""></span>",20 Egmont Street,,4075,"[424529854, 424529854]",THIS IS AN INCREDIBLY SPACIOUS AND BEAUTIFULLY DESIGNED 4 BEDROOM 3 BATHROOM HOME .,House,"MAGNIFICENT HOME IN QUIET, FAMILY FRIENDLY COMMUNITY no pets allowed","$3,120",4,4,"[datetime.date(2018, 9, 26)]","Rent Central Sherwood,Ann Marie Lindeblad","<span class=""price""></span>",Mon 22-Oct-18,3,Sherwood,RESTT Property Sales and Rentals - LOGAN CENTRAL,"Ensuite:,1,Living Areas:,1,Toilets:,3,Intercom,Study,Built-in Wardrobes,Dishwasher,Split-system Heating,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-unit-qld-richlands-424741930,"Garage Spaces:,1,Open Car Spaces:,1","<span class=""rate""></span>",199/25 Farinazzo Street,,4077,"[424741930, 424741930]",A generously sized duplex townhouse design,Unit,GENEROUS SIZE TOWNHOUSE,"$1,400",3,2,"[datetime.date(2018, 9, 26)]",LJ Hooker Forest Lake,"<span class=""price""></span>",Thu 04-Oct-18,2,Richlands,LJ Hooker - Forest Lake,
,https://www.realestate.com.au/floorplan_new.ds?id=424766362&theme=rea.rent,https://www.realestate.com.au/property-unit-qld-sherwood-424766362,"Garage Spaces:,1,Balcony","<span class=""rate""></span>",5/42 Primrose St,,4075,"[424766362, 424766362]","This 2 bedroom unit is located in a convenient location only a short walk to the local shops, train station, cafés, restaurants and parks.",Unit,"RECENTLY RENOVATED, NEAT & TIDY, IN GREAT LOCATION","$1,400",2,1,"[datetime.date(2018, 9, 26)]",Chris Gordon,"<span class=""price""></span>",Available Now,1,Sherwood,E Residential,"Toilets:,1,Floorboards,Broadband Internet Available,Built-in Wardrobes,Dishwasher"
,Not provided,https://www.realestate.com.au/property-house-qld-oxley-417330350,"Carport Spaces:,1","<span class=""rate""></span>",17 Idriess St,,4075,"[417330350, 417330350]",Located in a quiet location this 4 bedroom 1.5 bathroom home offers flexibility and character.,House,QUALITY FAMILY HOME IN CONVENIENT LOCATION,,4,1,"[datetime.date(2018, 9, 26)]","Chris Gordon,Erin Gordon","<span class=""price""></span>",Tue 09-Oct-18,1,Oxley,E Residential,"Toilets:,2,Workshop,Broadband Internet Available,Built-in Wardrobes,Dishwasher"
,Not provided,https://www.realestate.com.au/property-apartment-qld-corinda-424776854,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",13/719 Oxley  Road,,4075,"[424776854, 424776854]",If you're looking for a modern apartment with all the modern features in a central location then look no further. This apartment ticks all the boxes from design through to quality appliances and fixtures.,Apartment,1 BEDROOM APARTMENT FOR $310 PER WEEK,"$1,240",1,1,"[datetime.date(2018, 9, 26)]",CBS Property Group,"<span class=""price""></span>",Wed 17-Oct-18,1,Corinda,CBS Property Group - FORTITUDE VALLEY,"Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-inala-424766646,"Garage Spaces:,2","<span class=""rate""></span>",240 Freeman Rd,,4077,"[424766646, 424766646]",You’ll have to be quick to view one of Inala’s best presented homes currently on the rental market. The property has been renovated throughout and is on a fenced 600m2 block with a huge backyard and secure detached double garage. The property is bordering Richlands and sits across the road from public recreation facilities and greenspace within the Cjgreenfield Park and playing fields. ,House,RENOVATED AND AIR CONDITIONED FAMILY HOME WITH HUGE YARD,"$1,400",3,2,"[datetime.date(2018, 9, 26)]",Dan Young,"<span class=""price""></span>",Available Now,1,Inala,E Residential,
