price_des,crawl_date,floorplan,car,indoor_feature,bed,property_type,other_feature,agent,property_id,rental_yield,bathroom,median_rent,post_code,street_address,title,outdoor_feature,suburb,url,agency,date_available,price,allowance,bond,description 
$300 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424692214&theme=rea.rent,[1],,[2],Unit,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Rentals Department,[424692214],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,10/16 McCulla Street,2 BEDROOM UNIT IN THE HEART OF SHERWOOD,"Secure Parking,Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424692214,Poulsen Property - Graceville,Available Now,$300 per week,,"$1,200","This two bedroom unit in the heart of Sherwood is in easy walking distance to Sherwood Train Station, Woolworths, the Sherwood Shopping precinct, parks, bike ways, schools and numerous restaurants."
$330 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,1,Air Conditioning",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","Kerryanne Drummond,Simon Le",[424690906],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,53 Frangipani St,NEAT FAMILY HOME CLOSE TO ALL AMENITIES,"Secure Parking,Garage Spaces:,1",Inala,https://www.realestate.com.au/property-house-qld-inala-424690906,Ray White Forest Lake,Available Now,$330 per week,Pet Friendly,"$1,320",***HOW TO INSPECT THIS PROPERTY DETAILS BELOW***
$700 per week,"[datetime.date(2018, 9, 26)]",Not provided,[4],"Ensuite:,2,Built-in Wardrobes,Dishwasher,Air Conditioning",[6],House,,Leasing Team,[423298342],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4069,54 Mandalay Street,Fabulous Family Home in Fig Tree Pocket,"Carport Spaces:,4,Outdoor Entertaining Area,Fully Fenced",Fig Tree Pocket,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-423298342,JDC Property Group - New Farm,Tue 23-Oct-18,$700 per week,,"$2,800","Located in sought after Mandalay Estate, Fig Tree Pocket, this beautiful home will not last."
$300 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,1,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning",[2],Unit,0,Contact Rentals,[424681538],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,5/17 Donaldson Street,Great Location!!,"Remote Garage,Garage Spaces:,1,Balcony",Corinda,https://www.realestate.com.au/property-unit-qld-corinda-424681538,Activerealestate.com.au - .,Wed 07-Nov-18,$300 per week,,"$1,200","Come and inspect this great two bedroom, single bathroom property. It is positioned at the top rear of the building. Bathroom previously renovated, remote lock up garage and Air Conditioning and ceiling fans. Located just across the road from Coles supermarket and the Sherwood Services Club, Library and less than 100 meters to the Corinda train station."
$285 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,1,Floorboards",[3],House,,John Lui,[424593666],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,16 Sunbird Street,WELL PRESENTED 3 BEDROOM HOUSE,"Open Car Spaces:,1,Shed",Inala,https://www.realestate.com.au/property-house-qld-inala-424593666,Manage My Property,Available Now,$285 per week,,"$1,140","This home has been freshly renovated and just awaiting its new tenants!! If you would like to live close to local shops, transport and amenities then this is the home for you."
$480 per week,"[datetime.date(2018, 9, 26)]",Not provided,,,[3],House,,Contact Agent Cardinal Land,[424673114],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4068,11 Honour Avenue,Very cute and very affordable cottage on Chelmer's high-side... with river views!!!,"Secure Parking,Balcony",Chelmer,https://www.realestate.com.au/property-house-qld-chelmer-424673114,Cardinal Land,Available Now,$480 per week,,"$1,920",This cute but very affordable 3 bedroom cottage is located on Chelmer's much sought after high-side.
$450 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424462110&theme=rea.rent,[2],"Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher",[3],House,,"Chris Gordon,Megan Kelada",[424462110],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,24 Canowindra St,CALL TO ARRANGE A PRIVATE VIEWING TODAY!,"Carport Spaces:,2,Outdoor Entertaining Area",Jindalee,https://www.realestate.com.au/property-house-qld-jindalee-424462110,E Residential,Available Now,$450 per week,,"$1,800","FRESHLY RENOVATED, SPACIOUS & STYLISH"
$780,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424529854&theme=rea.rent,[4],"Ensuite:,1,Living Areas:,1,Toilets:,3,Intercom,Study,Built-in Wardrobes,Dishwasher,Split-system Heating,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning",[4],House,"Close to Schools, Close to Shops, Close to Transport, Prestige Homes","Rent Central Sherwood,Ann Marie Lindeblad",[424529854],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4075,20 Egmont Street,"MAGNIFICENT HOME IN QUIET, FAMILY FRIENDLY COMMUNITY no pets allowed","Remote Garage,Garage Spaces:,2,Open Car Spaces:,2,Courtyard,Fully Fenced",Sherwood,https://www.realestate.com.au/property-house-qld-sherwood-424529854,RESTT Property Sales and Rentals - LOGAN CENTRAL,Mon 22-Oct-18,$780,,"$3,120",THIS IS AN INCREDIBLY SPACIOUS AND BEAUTIFULLY DESIGNED 4 BEDROOM 3 BATHROOM HOME .
$350 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424766362&theme=rea.rent,[1],"Toilets:,1,Floorboards,Broadband Internet Available,Built-in Wardrobes,Dishwasher",[2],Unit,,Chris Gordon,[424766362],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,5/42 Primrose St,"RECENTLY RENOVATED, NEAT & TIDY, IN GREAT LOCATION","Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424766362,E Residential,Available Now,$350 per week,,"$1,400","This 2 bedroom unit is located in a convenient location only a short walk to the local shops, train station, cafés, restaurants and parks."
$350 wk,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[3],Unit,,LJ Hooker Forest Lake,[424741930],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,199/25 Farinazzo Street,GENEROUS SIZE TOWNHOUSE,"Garage Spaces:,1,Open Car Spaces:,1",Richlands,https://www.realestate.com.au/property-unit-qld-richlands-424741930,LJ Hooker - Forest Lake,Thu 04-Oct-18,$350 wk,,"$1,400",A generously sized duplex townhouse design
$350 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[3],House,,Dan Young,[424766646],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,240 Freeman Rd,RENOVATED AND AIR CONDITIONED FAMILY HOME WITH HUGE YARD,"Garage Spaces:,2",Inala,https://www.realestate.com.au/property-house-qld-inala-424766646,E Residential,Available Now,$350 per week,,"$1,400",You’ll have to be quick to view one of Inala’s best presented homes currently on the rental market. The property has been renovated throughout and is on a fenced 600m2 block with a huge backyard and secure detached double garage. The property is bordering Richlands and sits across the road from public recreation facilities and greenspace within the Cjgreenfield Park and playing fields. 
$490 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424308794&theme=rea.rent,[2],"Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[4],House,,"Chris Gordon,Iszabel Lees",[424308794],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,33 Pennant St,FAMILY HOME WITH POOL IN QUIET LOCATION,"Carport Spaces:,2,Outdoor Entertaining Area,Swimming Pool - Inground",Jamboree Heights,https://www.realestate.com.au/property-house-qld-jamboree+heights-424308794,E Residential,Available Now,$490 per week,Pet Friendly,,"This home is a modern 4 bedroom 2 bathroom family home. It features an open plan Air-Conditioned living area with raked ceiling. Neat and spacious eat-in kitchen which includes integrated dishwasher, stainless appliances and plenty of cupboard and bench space."
$430 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,2,Workshop,Broadband Internet Available,Built-in Wardrobes,Dishwasher",[4],House,,"Chris Gordon,Erin Gordon",[417330350],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,17 Idriess St,QUALITY FAMILY HOME IN CONVENIENT LOCATION,"Carport Spaces:,1",Oxley,https://www.realestate.com.au/property-house-qld-oxley-417330350,E Residential,Tue 09-Oct-18,$430 per week,,,Located in a quiet location this 4 bedroom 1.5 bathroom home offers flexibility and character.
$385 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424687362&theme=rea.rent,[1],"Toilets:,2,Air Conditioning",[2],Unit,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Zoe Wales,[424687362],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,203/60 Hood Street,"AVAILABLE NOW, ALL YOURS","Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424687362,Ray White Sherwood/Graceville,Available Now,$385 per week,,"$1,540","Showcasing plenty of sunlight and breezes throughout, this never-been-lived-in apartment is located in the highly regarded blue ribbon suburb of Sherwood."
$310 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning",[1],Apartment,,CBS Property Group,[424776854],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,13/719 Oxley  Road,1 BEDROOM APARTMENT FOR $310 PER WEEK,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony",Corinda,https://www.realestate.com.au/property-apartment-qld-corinda-424776854,CBS Property Group - FORTITUDE VALLEY,Wed 17-Oct-18,$310 per week,,"$1,240",If you're looking for a modern apartment with all the modern features in a central location then look no further. This apartment ticks all the boxes from design through to quality appliances and fixtures.
$360 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=421156430&theme=rea.rent,[1],"Ensuite:,1,Toilets:,3,Floorboards,Broadband Internet Available,Built-in Wardrobes,Reverse-cycle Air Conditioning",[3],Townhouse,,Syd & Fem Douglas,[421156430],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,The Grove /7 Giosam Street,Inspired Master-Planned Living,"Remote Garage,Secure Parking,Garage Spaces:,1,Courtyard,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-421156430,Azure Living - QLD,Available Now,$360 per week,,,"Azure Living is pleased to present to you The Grove Edition, Richlands. A master-planned community of 3 and 4 bedroom terraces featuring an outdoor pool and entertainment area. Surrounded by subtropical landscaping and nestled within the growing Western suburb of Richlands. Spanning over two levels, this contemporary terrace home is an impeccable fusion of space and convenience."
$385 + 1 week FREE RENT,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424363406&theme=rea.rent,[1],"Toilets:,1,Air Conditioning",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops",Debbie Swales,[424363406],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,44 Galleon Street,BEAUTIFULLY RENOVATED 3 BEDROOM HOME,"Carport Spaces:,1",Jamboree Heights,https://www.realestate.com.au/property-house-qld-jamboree+heights-424363406,Ray White - Centenary,Available Now,$385 + 1 week FREE RENT,Pet Friendly,"$1,540","Ray White Centenary proudly offers for rent this beautiful home, recently very tastefully renovated almost throughout, complete with quality fixtures and appliances. With a stunning brand new modern kitchen, fresh paint and new flooring, this is a home to be proud of. "
$370 PW-1 WEEK FREE,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424493170&theme=rea.rent,[1],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager",Steve Dunn,[424493170],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4076,86/20 Sanflex Street,ONE WEEK FREE RENT & $100 GIFT VOUCHER FOR LEASE START PRIOR TO END OF SEPTEMBER 2018!,"Secure Parking,Garage Spaces:,1,Balcony",Darra,https://www.realestate.com.au/property-townhouse-qld-darra-424493170,RAAS Group,Available Now,$370 PW-1 WEEK FREE,,"$1,480",FOR A LIMITED TIME WE ARE OFFERING 1 WEEK FREE RENT AND $100 GIFT VOUCHER IF YOU START YOUR LEASE PRIOR TO THE END OF SEPTEMBER 2018!
$490 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Floorboards,Air Conditioning",[3],House,"Close to Schools, Close to Shops, Close to Transport, Separate Dining",Rentals Department,[422078614],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,259 Verney Road East,RENOVATED HOME WITH A POOL IN THE HEART OF GRACEVILLE,"Secure Parking,Carport Spaces:,2,Balcony,Swimming Pool - Inground",Graceville,https://www.realestate.com.au/property-house-qld-graceville-422078614,Poulsen Property - Graceville,Available Now,$490 per week,Pet Friendly,"$1,960","This three bedroom, 2 bathroom home is situated in the heart of Graceville in close proximity to shops, train, restaurants and schools. Modern kitchen with dishwasher. Air-conditioned lounge. Easy access to the rear covered deck from the dining room."
$335 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],Air Conditioning,[3],House,"Internal Laundry, Close to shops, Close to transport",Reception Team,[409732815],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,16 Spoonbill Street Inala,Beautiful Family Home ; INCLUDES SOLAR,"Carport Spaces:,1,Garage Spaces:,1",Inala,https://www.realestate.com.au/property-house-qld-inala-409732815,Your Choice Realty - Forest Lake,Available Now,$335 per week,Pet Friendly,"$1,340","This well presented spacious three bedroom home is close to all amentities such as the Primary School, Public Transport and ONLY mintues away from the motorway to the City. "
$580 Per Week With A Granny Flat,"[datetime.date(2018, 9, 26)]",Not provided,[3],"Ensuite:,1,Toilets:,1,Study,Built-in Wardrobes,Pay TV Access,Dishwasher,Air Conditioning",[4],House,,"Adam Workman,Katy Lightwood",[424594206],"<span class=""rate""></span>",[4],"<span class=""price""></span>",4074,38 Tigris St,IF YOU ARE LOOKING FOR SPACE AND A GRANNY FLAT - THIS HOME IS FOR YOU,"Secure Parking,Carport Spaces:,1,Garage Spaces:,2,Courtyard,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground",Riverhills,https://www.realestate.com.au/property-house-qld-riverhills-424594206,RE/MAX Ignite - RIVERHILLS,Available Now,$580 Per Week With A Granny Flat,,,"When you walk into this property you will feel the sense of space.  Offering a large living room with air conditioning, kitchen meals area with dishwasher and electric cooking."
380.00,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[3],House,,Bridget Mills,[424574498],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,54 Curragundi54 Curragundi Road,Huge back yard and centrally located.,"Garage Spaces:,1",Jindalee,https://www.realestate.com.au/property-house-qld-jindalee-424574498,More Estate Agents - JINDALEE,Available Now,380.00,,,Contact David Brinkwall to view this property - 0418 881 234.
$345 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,2",[3],Townhouse,,Betty Jia,[422261534],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,18/11 Oakmont Ave,Spacious townhouse 2 minute walk to Aldi shopping centre,"Garage Spaces:,1",Oxley,https://www.realestate.com.au/property-townhouse-qld-oxley-422261534,nextrealty.com.au,Mon 19-Nov-18,$345 per week,,"$1,380","Grab this chance to enjoy a quiet and lifestyle home located in a secure-gated, convenient complex with large swimming pool and BBQ facility. This property has 3 large bedrooms all with built-in wardrobes. The Blunder road shopping center is just next to complex. "
$355 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Shops, Close to Transport, courtyard,  backyard maintained",Sharon Wendt,[424774914],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,10 Yugumbir Street,SPACIOUS AND COMFORTABLE TOWNHOUSE-Close to Trains,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424774914,Raine & Horne - Onsite Sales,Fri 05-Oct-18,$355 per week,,"$1,420",*** Please contact us to arrange a viewing.
$300pw,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=414189635&theme=rea.rent,[1],,[3],House,"balcony/patio/terrace,bath",Property Management Team,[414189635],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,8 Aquarius Street,Ready to move in Early September,"Carport Spaces:,1",Inala,https://www.realestate.com.au/property-house-qld-inala-414189635,Coulson Real Estate - Inala,Available Now,$300pw,,,"This great 3 bedroom home, is well maintained & is ready to move into, would suit a couple or even a single person. Carport, Fully fenced yard. Security Screens. This property is Water Compliant so full waterage usage will be charged. Inspections are by appointments only."
$450 MASSIVE LUXURY UNIT,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424775714&theme=rea.rent,[1],"Ensuite:,1,Intercom,Study,Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Split-system Air Conditioning",[2],Apartment,,Paul Teoh - Sherwood Residences,[424775714],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,6 Quarry Road,Massive 2 bedroom,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony,Swimming Pool - Inground",Sherwood,https://www.realestate.com.au/property-apartment-qld-sherwood-424775714,JLL QLD Pty Ltd,Wed 10-Oct-18,$450 MASSIVE LUXURY UNIT,Pet Friendly,"$1,800","Sherwood Residences offers you the perfect opportunity to live in a secure private landscaped environment close to everything including schools, shopping and sporting facilities!"
$620 Weekly,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[5],House,,Rentals - Centenary Real Estate,[421929766],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4073,70 SINNAMON ROAD,IMMACULATE WINDERMERE ESTATE HOME,"Remote Garage,Garage Spaces:,2",Sinnamon Park,https://www.realestate.com.au/property-house-qld-sinnamon+park-421929766,Centenary Real Estate - Jindalee,Wed 07-Nov-18,$620 Weekly,,,"This beautifully designed and maintained home will not last long. Offering spacious, open living areas, lovely easy maintenance gardens and the perfect position, plus a fresh update including a fresh coat of paint, new carpets and kitchen appliances - this stunning home is sure to make you fall in love!"
$415 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Intercom,Air Conditioning",[2],Unit,,Damian Bourke,[424781802],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,445 Oxley Road,Ground floor private unit,"Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424781802,THEONSITEMANAGER - Hendra,Available Now,$415 per week,Pet Friendly,"$1,660",Large (80sq.m) high quality ground floor unit with private courtyard and no stairs for access.
$380 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[3],Townhouse,,Emily Hood,[424775610],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4077,22/164 Government Rd,22/164 Government Rd Richlands,"Garage Spaces:,2",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424775610,Azure Living - QLD,Tue 06-Nov-18,$380 per week,,,Alton Edition 22/164 Government Road Richlands
$365 Weekly,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Ensuite:,1,Toilets:,3",[3],Townhouse,,Richlands Rise,[423390954],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,17/15 James Edward Street,17/15 James Edward St. Richlands,"Remote Garage,Carport Spaces:,1,Garage Spaces:,1",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-423390954,Australian Property Management Alliance - Mango Hill,Thu 11-Oct-18,$365 Weekly,,,"This spacious townhouse which is close to the Richlands Railway Station, Woolworths, Local pharmacy, McDonald's, Master's, West Brisbane Tennis Centre and Richlands AMF Bowling. Inala Plaza is only 5min drive away. For your ultimate lifestyle, perfect for commuters, only 2 mins to M5 Centenary Highway."
$510 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[4],House,0,Cartwright Property Group,[424782026],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,16 Thornburgh Street,OXLEY,"Secure Parking,Garage Spaces:,1,Courtyard",Oxley,https://www.realestate.com.au/property-house-qld-oxley-424782026,Cartwright Property Group - GRACEVILLE,Thu 08-Nov-18,$510 per week,,"$2,040","- Sorry, no pets"
$690 Weekly including pool and garden maintenance!,"[datetime.date(2018, 9, 26)]",Not provided,[3],,[4],House,,Rentals - Centenary Real Estate,[416706573],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,3 CUNNINGHAM COURT,COME HOME TO YOUR OWN PRIVATE RESORT!,"Garage Spaces:,3",Mount Ommaney,https://www.realestate.com.au/property-house-qld-mount+ommaney-416706573,Centenary Real Estate - Jindalee,Tue 23-Oct-18,$690 Weekly including pool and garden maintenance!,Pet Friendly,,Welcome to your own private resort style home - wait 'til you see what is on offer!
$315 per week,"[datetime.date(2018, 9, 26)]",Not provided,,"Toilets:,1,Floorboards,Air Conditioning",[3],House,,Rental Domain,[424784758],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,25 Rosella Street,AIR CONDITIONED MAIN BEDROOM!,,Inala,https://www.realestate.com.au/property-house-qld-inala-424784758,Rental Domain - GOODNA,Mon 08-Oct-18,$315 per week,,"$1,260","This neat and tidy three bedroom home has an AIR-CONDITIONED main bedroom which is great for shift workers. The bedrooms are spacious  and 1 bedroom has a free standing robe.  The house overlooks a flat, grassy back yard. Close to schools, shops and bus services. Call  our friendly staff today to book in for an inspection!"
LUXURIOUS LIVING $460,"[datetime.date(2018, 9, 26)]",Not provided,[2],Air Conditioning,[3],Townhouse,,Wistaria Mo,[424787426],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,8 Valance Street,SPACIOUS LUXURIOUS TOWNHOME WITH BALCONY,"Garage Spaces:,2,Balcony,Swimming Pool - Inground",Oxley,https://www.realestate.com.au/property-townhouse-qld-oxley-424787426,THEONSITEMANAGER - Hendra,Sat 27-Oct-18,LUXURIOUS LIVING $460,Pet Friendly,"$1,840",EXPRESSION OF INTEREST – 
$395 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Leasing Oxley,[424794358],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,3/10 Costalot Street,Townhouse in Oxley,"Garage Spaces:,1",Oxley,https://www.realestate.com.au/property-house-qld-oxley-424794358,Tessa Residential - NINGI,Tue 16-Oct-18,$395 per week,,"$1,580",This modern townhouse in Oxley has the following features
375/week,"[datetime.date(2018, 9, 26)]",Not provided,[2],Air Conditioning,[3],Townhouse,,Angus Wang,[424788794],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,10 McEwan Street,Modern double garage double air con.  townhouse - Excellent location,"Garage Spaces:,2,Swimming Pool - Inground",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424788794,THEONSITEMANAGER - Hendra,Available Now,375/week,,"$1,500",Modern double garage and Double Air Conditioners town home with extra car parks.
$365 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,2",[3],Townhouse,,Eric Chen,[424794418],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,149/88 littleton rd,"Popular Villa in a top location, be quick!","Carport Spaces:,2",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424794418,nextrealty.com.au,Available Now,$365 per week,,"$1,460","This nearly new contemporary villa is within the prestigious commuity - Villaggio. It's conveniently situated to all the amenities: schools, supermarkets, shopping centres, bus stop and train station:"
$290 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Michael Cai,[424795806],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4077,51/83 OLD PROGRESS ROAD,Very Rare Opportunity Under NRAS Scheme - Modern 3 BEDROOM TOWNHOUSE LOCATED IN RICHLANDS,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424795806,Raine & Horne - Onsite Sales,Wed 23-Oct-19,$290 per week,,"$1,160","*****Please noted, Applicant must prove yourself to be eligible to apply this unit. NRAS Reference number is required***** "
$510 weekly,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Built-in Wardrobes,Dishwasher,Air Conditioning",[4],House,,Jess Cleveland,[424794786],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,3 Krystelle Close,Well-appointed Family Home!,"Remote Garage,Garage Spaces:,2,Fully Fenced",Oxley,https://www.realestate.com.au/property-house-qld-oxley-424794786,Coronis - LUTWYCHE,Tue 02-Oct-18,$510 weekly,,"$2,040","Located on a level 404m2, this wonderfully designed 4 bedroom home is perfect for a growing family. "
LEASED,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Living Areas:,1,Toilets:,1,Built-in Wardrobes,Dishwasher,Ducted Heating,Ducted Cooling,Air Conditioning",[3],Townhouse,,Angus Lilley,[404857174],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,3/709 Oxley Road,"IMMACULATE TOWNHOUSE , THREE BEDROOMS, ENSUITE, DUCTED AIR-CONDITIONING THROUGHOUT, DISHWASHER, PRIVATE COUTYARD, LOCKUP GARAGE","Garage Spaces:,1,Balcony,Courtyard",Corinda,https://www.realestate.com.au/property-townhouse-qld-corinda-404857174,Lilley + Power Property Agents - Indooroopilly,Available Now,LEASED,,"$1,760","AVAILABLE NOW - SEE THIS WEEK'S OPEN HOUSES - NO REGISTRATION, PLEASE CHECK THE LISTING REGULARLY FOR UPDATES"
$420 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424767566&theme=rea.rent,[3],"Toilets:,2,Air Conditioning",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Formal Lounge",Debbie Swales,[424767566],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4076,18 Shamrock Road,CHARACTER HOME WITH GATED ENTRY,"Secure Parking,Carport Spaces:,3",Darra,https://www.realestate.com.au/property-house-qld-darra-424767566,Ray White - Centenary,Mon 29-Oct-18,$420 per week,Pet Friendly,"$1,680","Ray White Centenary proudly offers for rent this highset colonial style home full of character charm. With high ceilings, VJ walls, stained glass, air con, ceiling fans and dishwasher - this home offers perfect balance of classic features and modern comfort. "
$450 Weekly,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Ensuite:,1,Toilets:,3,Built-in Wardrobes",[3],House,,Centenary Jindalee,[424736762],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4073,,Beuna Vista Townhouse,"Carport Spaces:,1,Garage Spaces:,1",Sinnamon Park,https://www.realestate.com.au/property-house-qld-sinnamon+park-424736762,Centenary Real Estate - Jindalee,Fri 23-Nov-18,$450 Weekly,,,"This two-storey townhouse in situated in the Buena Vista Complex close to Mt Ommaney Shopping Centre, public transport, schools and easy access to the western freeway."
$445 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Broadband Internet Available,Air Conditioning",[3],House,0,Cartwright Property Group,[424740650],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,5 Gosfield Street,CORINDA,"Secure Parking,Carport Spaces:,1,Garage Spaces:,1,Deck",Corinda,https://www.realestate.com.au/property-house-qld-corinda-424740650,Cartwright Property Group - GRACEVILLE,Tue 16-Oct-18,$445 per week,,"$1,780","-Sorry, no pets"
