bed,price_des,title,url,date_available,other_feature,median_rent,indoor_feature,car,outdoor_feature,bond,suburb,agent,agency,bathroom,property_type,allowance,description,price,floorplan,property_id,rental_yield,post_code,crawl_date,street_address 
[4],$625 per week,FAMILY ENTERTAINERS DELIGHT,https://www.realestate.com.au/property-house-qld-sherwood-419328478,Fri 02-Nov-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Floorboards,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2,Balcony","$2,500",Sherwood,Zoe Wales,Ray White Sherwood/Graceville,[2],House,,"This beautiful Queenslander is opening its doors to a new family! Double french doors at the front, following the breeze to the back entertainers deck through the open plan kitchen, living and dining. Practical space and layout is what makes this the perfect family home. This is a must inspect to believe it! The hardest decision you will have to make is having your morning coffee on the front porch, or the back deck.","$625,$625,",Not provided,[419328478],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",43 Chancellor Street
[5],$900 per week,New executive home!,https://www.realestate.com.au/property-house-qld-graceville-423691814,Fri 05-Oct-18,,"<span class=""price""></span>","Built-in Wardrobes,Dishwasher,Air Conditioning",[2],"Garage Spaces:,2,Swimming Pool - Inground","$3,600",Graceville,Louise Hood,RE/MAX Riverside - Graceville,[3],House,,"From the premiere street setting to the light filled and open plan indoor and outdoor living spaces; this magnificent newly constructed designer residence exceeds all first impressions by showcasing a spacious, layout with the discerning resident in mind. Intended to provide a relaxed haven, this home is perfectly positioned moments away from local café's, restaurants, cinema and shopping precincts, train station, and quality schools including St Aidan's Anglican Girls School and Brisbane Boys College along with a variety of primary schools, whilst being only 8km from Brisbane's CBD and nearby to University of Queensland.","$900,$900,",Not provided,[423691814],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",87 White Street
[2],$370 p/w,BEAUTIFUL ALMOST NEW DUPLEX!,https://www.realestate.com.au/property-duplex+semi+detached-qld-riverhills-424695130,Wed 10-Oct-18,,"<span class=""price""></span>",,[1],"Garage Spaces:,1","$1,480",Riverhills,Steve Hoo,Optime Properties - RIVERHILLS,[2],Duplex/Semi-Detached,,"This beautiful near new duplex is located in the highly sought after and peaceful suburb of Riverhills. This unit contains 2 Bedrooms, 2 Bathrooms with a Master Ensuite and 1 lock up garage with internal access. Open plan living with elegant outdoor entertaining area and a big back yard.","$370,$370,",Not provided,[424695130],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",19B Sawmill Cct
[5],$450 Weekly - Dual Living,Dual Living in Darra!,https://www.realestate.com.au/property-house-qld-darra-424689066,Fri 28-Sep-18,,"<span class=""price""></span>","Toilets:,2,Dishwasher,Air Conditioning",,Fully Fenced,"$1,800",Darra,"Maya Yada,Kahlee Hassan",Coronis - FOREST LAKE,[2],House,Pet Friendly,"Perfect for the whole family with plenty of space for everyone on this 1,037 m2 block.","$450,$450,",Not provided,[424689066],"<span class=""rate""></span>",4076,"[datetime.date(2018, 9, 26)]",2661 Ipswich Road
[2],$300 per week,2 BEDROOM UNIT IN THE HEART OF SHERWOOD,https://www.realestate.com.au/property-unit-qld-sherwood-424692214,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport","<span class=""price""></span>",,[1],"Secure Parking,Garage Spaces:,1,Balcony","$1,200",Sherwood,Rentals Department,Poulsen Property - Graceville,[1],Unit,,"This two bedroom unit in the heart of Sherwood is in easy walking distance to Sherwood Train Station, Woolworths, the Sherwood Shopping precinct, parks, bike ways, schools and numerous restaurants.","$300,$300,",https://www.realestate.com.au/floorplan_new.ds?id=424692214&theme=rea.rent,[424692214],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",10/16 McCulla Street
[4],$820 per week,Come and See this Spectacular Beauty on Laurel Ave,https://www.realestate.com.au/property-house-qld-chelmer-424704598,Available Now,,"<span class=""price""></span>","Ensuite:,1,Living Areas:,2,Toilets:,3,Intercom,Built-in Wardrobes,Dishwasher,Ducted Vacuum System,Split-system Air Conditioning,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2,Fully Fenced","$4,920",Chelmer,"Jaclyn Lazarou,Jonathan Najarro",Place - Graceville,[2],House,,This charming brick home is spread over two spacious levels offering all the comforts you could ask for.,"$820,$820,",Not provided,[424704598],"<span class=""rate""></span>",4068,"[datetime.date(2018, 9, 26)]",20 Laurel Avenue
[3],$690 per week,Elegance in Central Graceville,https://www.realestate.com.au/property-house-qld-graceville-424704634,Available Now,,"<span class=""price""></span>","Ensuite:,1,Living Areas:,2,Toilets:,3,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning",,"Remote Garage,Deck,Fully Fenced","$2,760",Graceville,"Jonathan Najarro,Jaclyn Lazarou",Place - Graceville,[3],House,,This character filled property has traditional elegance with modern design to offer all the conveniences you would expect.  Spread over 2 generous levels this beautifully presented home has it all.,"$690,$690,",Not provided,[424704634],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",149 Strong Avenue
[4],$645 per week,This classic Queenslander is ready for a new family to make it their own with a pool!,https://www.realestate.com.au/property-house-qld-corinda-424722202,Available Now,,"<span class=""price""></span>","Living Areas:,1,Floorboards,Built-in Wardrobes,Air Conditioning",[2],"Carport Spaces:,2,Deck,Fully Fenced,Swimming Pool - Inground","$2,580",Corinda,"Jonathan Najarro,Jaclyn Lazarou",Place - Graceville,[1],House,,"This is a fabulous family home, offering a great entertaining space, beautiful veranda and a sparkling inground pool. ","$645,$645,",Not provided,[424722202],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",65 Gray Avenue
[3],$465 p.w.,Just Walk Right In And Start Living Here,https://www.realestate.com.au/property-house-qld-darra-423638534,Available Now,"Property Type: House Property Features: Unfurnished, Pets Allowed","<span class=""price""></span>",,[4],"Carport Spaces:,2,Garage Spaces:,2",,Darra,"Cassie Turner,Maddison Gleeson",Harcourts Local,[1],House,Pet Friendly,"Positioned on Harcourt Rd Darra this original home is in the heart of a growing area offering a superb lifestyle, moments from popular cafes, the new Darra train and bus interchange with easy access to the Ipswich Motorway and Centenary Highway, local shops and a number of quality schools for all ages. ","$465,$465,",Not provided,[423638534],"<span class=""rate""></span>",4076,"[datetime.date(2018, 9, 26)]",24 Harcourt Road
[4],$575 per week,Meticulously presented townhouse a Rare find in Sherwood.,https://www.realestate.com.au/property-townhouse-qld-sherwood-424610374,Available Now,,"<span class=""price""></span>","Ensuite:,1,Living Areas:,1,Toilets:,3,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[1],"Remote Garage,Secure Parking,Garage Spaces:,1,Deck,Courtyard,Outdoor Entertaining Area,Fully Fenced","$2,300",Sherwood,"Jaclyn Lazarou,Jonathan Najarro",Place - Graceville,[2],Townhouse,,"This luxury two-storey townhouse offers contemporary apartment living, located within a small complex, walking distance to Sherwood and Corinda villages, train stations, shops and schools. ","$575,$575,",https://www.realestate.com.au/floorplan_new.ds?id=424610374&theme=rea.rent,[424610374],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",2/27 Jerrold Street
[2],$300 per week,Great Location!!,https://www.realestate.com.au/property-unit-qld-corinda-424681538,Wed 07-Nov-18,0,"<span class=""price""></span>","Toilets:,1,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning",[1],"Remote Garage,Garage Spaces:,1,Balcony","$1,200",Corinda,Contact Rentals,Activerealestate.com.au - .,[1],Unit,,"Come and inspect this great two bedroom, single bathroom property. It is positioned at the top rear of the building. Bathroom previously renovated, remote lock up garage and Air Conditioning and ceiling fans. Located just across the road from Coles supermarket and the Sherwood Services Club, Library and less than 100 meters to the Corinda train station.","$300,$300,",Not provided,[424681538],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",5/17 Donaldson Street
[6],$700 per week,Fabulous Family Home in Fig Tree Pocket,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-423298342,Tue 23-Oct-18,,"<span class=""price""></span>","Ensuite:,2,Built-in Wardrobes,Dishwasher,Air Conditioning",[4],"Carport Spaces:,4,Outdoor Entertaining Area,Fully Fenced","$2,800",Fig Tree Pocket,Leasing Team,JDC Property Group - New Farm,[3],House,,"Located in sought after Mandalay Estate, Fig Tree Pocket, this beautiful home will not last.","$700,$700,",Not provided,[423298342],"<span class=""rate""></span>",4069,"[datetime.date(2018, 9, 26)]",54 Mandalay Street
[3],$480 per week,Very cute and very affordable cottage on Chelmer's high-side... with river views!!!,https://www.realestate.com.au/property-house-qld-chelmer-424673114,Available Now,,"<span class=""price""></span>",,,"Secure Parking,Balcony","$1,920",Chelmer,Contact Agent Cardinal Land,Cardinal Land,[1],House,,This cute but very affordable 3 bedroom cottage is located on Chelmer's much sought after high-side.,"$480,$480,",Not provided,[424673114],"<span class=""rate""></span>",4068,"[datetime.date(2018, 9, 26)]",11 Honour Avenue
[3],$360 per week,Inspired Master-Planned Living,https://www.realestate.com.au/property-townhouse-qld-richlands-421156430,Available Now,,"<span class=""price""></span>","Ensuite:,1,Toilets:,3,Floorboards,Broadband Internet Available,Built-in Wardrobes,Reverse-cycle Air Conditioning",[1],"Remote Garage,Secure Parking,Garage Spaces:,1,Courtyard,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground",,Richlands,Syd & Fem Douglas,Azure Living - QLD,[2],Townhouse,,"Azure Living is pleased to present to you The Grove Edition, Richlands. A master-planned community of 3 and 4 bedroom terraces featuring an outdoor pool and entertainment area. Surrounded by subtropical landscaping and nestled within the growing Western suburb of Richlands. Spanning over two levels, this contemporary terrace home is an impeccable fusion of space and convenience.","$360,$360,",https://www.realestate.com.au/floorplan_new.ds?id=421156430&theme=rea.rent,[421156430],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",The Grove /7 Giosam Street
[3],$450 per week,CALL TO ARRANGE A PRIVATE VIEWING TODAY!,https://www.realestate.com.au/property-house-qld-jindalee-424462110,Available Now,,"<span class=""price""></span>","Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher",[2],"Carport Spaces:,2,Outdoor Entertaining Area","$1,800",Jindalee,"Chris Gordon,Megan Kelada",E Residential,[2],House,,"FRESHLY RENOVATED, SPACIOUS & STYLISH","$450,$450,",https://www.realestate.com.au/floorplan_new.ds?id=424462110&theme=rea.rent,[424462110],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",24 Canowindra St
[3],$285 per week,WELL PRESENTED 3 BEDROOM HOUSE,https://www.realestate.com.au/property-house-qld-inala-424593666,Available Now,,"<span class=""price""></span>","Toilets:,1,Floorboards",[1],"Open Car Spaces:,1,Shed","$1,140",Inala,John Lui,Manage My Property,[1],House,,"This home has been freshly renovated and just awaiting its new tenants!! If you would like to live close to local shops, transport and amenities then this is the home for you.","$285,$285,",Not provided,[424593666],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",16 Sunbird Street
[4],$780,"MAGNIFICENT HOME IN QUIET, FAMILY FRIENDLY COMMUNITY no pets allowed",https://www.realestate.com.au/property-house-qld-sherwood-424529854,Mon 22-Oct-18,"Close to Schools, Close to Shops, Close to Transport, Prestige Homes","<span class=""price""></span>","Ensuite:,1,Living Areas:,1,Toilets:,3,Intercom,Study,Built-in Wardrobes,Dishwasher,Split-system Heating,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning",[4],"Remote Garage,Garage Spaces:,2,Open Car Spaces:,2,Courtyard,Fully Fenced","$3,120",Sherwood,"Rent Central Sherwood,Ann Marie Lindeblad",RESTT Property Sales and Rentals - LOGAN CENTRAL,[3],House,,THIS IS AN INCREDIBLY SPACIOUS AND BEAUTIFULLY DESIGNED 4 BEDROOM 3 BATHROOM HOME .,"$780,$780,",https://www.realestate.com.au/floorplan_new.ds?id=424529854&theme=rea.rent,[424529854],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",20 Egmont Street
[4],$490 per week,FAMILY HOME WITH POOL IN QUIET LOCATION,https://www.realestate.com.au/property-house-qld-jamboree+heights-424308794,Available Now,,"<span class=""price""></span>","Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[2],"Carport Spaces:,2,Outdoor Entertaining Area,Swimming Pool - Inground",,Jamboree Heights,"Chris Gordon,Iszabel Lees",E Residential,[2],House,Pet Friendly,"This home is a modern 4 bedroom 2 bathroom family home. It features an open plan Air-Conditioned living area with raked ceiling. Neat and spacious eat-in kitchen which includes integrated dishwasher, stainless appliances and plenty of cupboard and bench space.","$490,$490,",https://www.realestate.com.au/floorplan_new.ds?id=424308794&theme=rea.rent,[424308794],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",33 Pennant St
[3],$350 wk,GENEROUS SIZE TOWNHOUSE,https://www.realestate.com.au/property-unit-qld-richlands-424741930,Thu 04-Oct-18,,"<span class=""price""></span>",,[2],"Garage Spaces:,1,Open Car Spaces:,1","$1,400",Richlands,LJ Hooker Forest Lake,LJ Hooker - Forest Lake,[2],Unit,,A generously sized duplex townhouse design,"$350,$350,",Not provided,[424741930],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",199/25 Farinazzo Street
[2],$350 per week,"RECENTLY RENOVATED, NEAT & TIDY, IN GREAT LOCATION",https://www.realestate.com.au/property-unit-qld-sherwood-424766362,Available Now,,"<span class=""price""></span>","Toilets:,1,Floorboards,Broadband Internet Available,Built-in Wardrobes,Dishwasher",[1],"Garage Spaces:,1,Balcony","$1,400",Sherwood,Chris Gordon,E Residential,[1],Unit,,"This 2 bedroom unit is located in a convenient location only a short walk to the local shops, train station, cafés, restaurants and parks.","$350,$350,",https://www.realestate.com.au/floorplan_new.ds?id=424766362&theme=rea.rent,[424766362],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",5/42 Primrose St
[3],$350 per week,RENOVATED AND AIR CONDITIONED FAMILY HOME WITH HUGE YARD,https://www.realestate.com.au/property-house-qld-inala-424766646,Available Now,,"<span class=""price""></span>",,[2],"Garage Spaces:,2","$1,400",Inala,Dan Young,E Residential,[1],House,,You’ll have to be quick to view one of Inala’s best presented homes currently on the rental market. The property has been renovated throughout and is on a fenced 600m2 block with a huge backyard and secure detached double garage. The property is bordering Richlands and sits across the road from public recreation facilities and greenspace within the Cjgreenfield Park and playing fields. ,"$350,$350,",Not provided,[424766646],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",240 Freeman Rd
[4],$430 per week,QUALITY FAMILY HOME IN CONVENIENT LOCATION,https://www.realestate.com.au/property-house-qld-oxley-417330350,Tue 09-Oct-18,,"<span class=""price""></span>","Toilets:,2,Workshop,Broadband Internet Available,Built-in Wardrobes,Dishwasher",[1],"Carport Spaces:,1",,Oxley,"Chris Gordon,Erin Gordon",E Residential,[1],House,,Located in a quiet location this 4 bedroom 1.5 bathroom home offers flexibility and character.,"$430,$430,",Not provided,[417330350],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",17 Idriess St
[3],$385 + 1 week FREE RENT,BEAUTIFULLY RENOVATED 3 BEDROOM HOME,https://www.realestate.com.au/property-house-qld-jamboree+heights-424363406,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops","<span class=""price""></span>","Toilets:,1,Air Conditioning",[1],"Carport Spaces:,1","$1,540",Jamboree Heights,Debbie Swales,Ray White - Centenary,[1],House,Pet Friendly,"Ray White Centenary proudly offers for rent this beautiful home, recently very tastefully renovated almost throughout, complete with quality fixtures and appliances. With a stunning brand new modern kitchen, fresh paint and new flooring, this is a home to be proud of. ","$385,$385,",https://www.realestate.com.au/floorplan_new.ds?id=424363406&theme=rea.rent,[424363406],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",44 Galleon Street
[3],$370 PW-1 WEEK FREE,ONE WEEK FREE RENT & $100 GIFT VOUCHER FOR LEASE START PRIOR TO END OF SEPTEMBER 2018!,https://www.realestate.com.au/property-townhouse-qld-darra-424493170,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager","<span class=""price""></span>","Toilets:,3,Air Conditioning",[1],"Secure Parking,Garage Spaces:,1,Balcony","$1,480",Darra,Steve Dunn,RAAS Group,[2],Townhouse,,FOR A LIMITED TIME WE ARE OFFERING 1 WEEK FREE RENT AND $100 GIFT VOUCHER IF YOU START YOUR LEASE PRIOR TO THE END OF SEPTEMBER 2018!,"$370,$370,",https://www.realestate.com.au/floorplan_new.ds?id=424493170&theme=rea.rent,[424493170],"<span class=""rate""></span>",4076,"[datetime.date(2018, 9, 26)]",86/20 Sanflex Street
[3],380.00,Huge back yard and centrally located.,https://www.realestate.com.au/property-house-qld-jindalee-424574498,Available Now,,"<span class=""price""></span>",,[1],"Garage Spaces:,1",,Jindalee,Bridget Mills,More Estate Agents - JINDALEE,[1],House,,Contact David Brinkwall to view this property - 0418 881 234.,,Not provided,[424574498],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",54 Curragundi54 Curragundi Road
[1],$310 per week,1 BEDROOM APARTMENT FOR $310 PER WEEK,https://www.realestate.com.au/property-apartment-qld-corinda-424776854,Wed 17-Oct-18,,"<span class=""price""></span>","Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning",[1],"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony","$1,240",Corinda,CBS Property Group,CBS Property Group - FORTITUDE VALLEY,[1],Apartment,,If you're looking for a modern apartment with all the modern features in a central location then look no further. This apartment ticks all the boxes from design through to quality appliances and fixtures.,"$310,$310,",Not provided,[424776854],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",13/719 Oxley  Road
[3],$355 per week,SPACIOUS AND COMFORTABLE TOWNHOUSE-Close to Trains,https://www.realestate.com.au/property-townhouse-qld-richlands-424774914,Fri 05-Oct-18,"Built-In Wardrobes, Close to Shops, Close to Transport, courtyard,  backyard maintained","<span class=""price""></span>","Toilets:,3,Air Conditioning",[1],"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground","$1,420",Richlands,Sharon Wendt,Raine & Horne - Onsite Sales,[2],Townhouse,,*** Please contact us to arrange a viewing.,"$355,$355,",Not provided,[424774914],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",10 Yugumbir Street
[3],$345 per week,Spacious townhouse 2 minute walk to Aldi shopping centre,https://www.realestate.com.au/property-townhouse-qld-oxley-422261534,Mon 19-Nov-18,,"<span class=""price""></span>","Toilets:,2",[1],"Garage Spaces:,1","$1,380",Oxley,Betty Jia,nextrealty.com.au,[1],Townhouse,,"Grab this chance to enjoy a quiet and lifestyle home located in a secure-gated, convenient complex with large swimming pool and BBQ facility. This property has 3 large bedrooms all with built-in wardrobes. The Blunder road shopping center is just next to complex. ","$345,$345,",Not provided,[422261534],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",18/11 Oakmont Ave
[5],$620 Weekly,IMMACULATE WINDERMERE ESTATE HOME,https://www.realestate.com.au/property-house-qld-sinnamon+park-421929766,Wed 07-Nov-18,,"<span class=""price""></span>",,[2],"Remote Garage,Garage Spaces:,2",,Sinnamon Park,Rentals - Centenary Real Estate,Centenary Real Estate - Jindalee,[3],House,,"This beautifully designed and maintained home will not last long. Offering spacious, open living areas, lovely easy maintenance gardens and the perfect position, plus a fresh update including a fresh coat of paint, new carpets and kitchen appliances - this stunning home is sure to make you fall in love!","$620,$620,",Not provided,[421929766],"<span class=""rate""></span>",4073,"[datetime.date(2018, 9, 26)]",70 SINNAMON ROAD
[3],$380 per week,22/164 Government Rd Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424775610,Tue 06-Nov-18,,"<span class=""price""></span>",,[2],"Garage Spaces:,2",,Richlands,Emily Hood,Azure Living - QLD,[3],Townhouse,,Alton Edition 22/164 Government Road Richlands,"$380,$380,",Not provided,[424775610],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",22/164 Government Rd
[2],$450 MASSIVE LUXURY UNIT,Massive 2 bedroom,https://www.realestate.com.au/property-apartment-qld-sherwood-424775714,Wed 10-Oct-18,,"<span class=""price""></span>","Ensuite:,1,Intercom,Study,Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Split-system Air Conditioning",[1],"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony,Swimming Pool - Inground","$1,800",Sherwood,Paul Teoh - Sherwood Residences,JLL QLD Pty Ltd,[2],Apartment,Pet Friendly,"Sherwood Residences offers you the perfect opportunity to live in a secure private landscaped environment close to everything including schools, shopping and sporting facilities!","$450,$450,",https://www.realestate.com.au/floorplan_new.ds?id=424775714&theme=rea.rent,[424775714],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",6 Quarry Road
[2],$415 per week,Ground floor private unit,https://www.realestate.com.au/property-unit-qld-sherwood-424781802,Available Now,,"<span class=""price""></span>","Intercom,Air Conditioning",[1],"Garage Spaces:,1,Balcony","$1,660",Sherwood,Damian Bourke,THEONSITEMANAGER - Hendra,[2],Unit,Pet Friendly,Large (80sq.m) high quality ground floor unit with private courtyard and no stairs for access.,"$415,$415,",Not provided,[424781802],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",445 Oxley Road
[4],$510 per week,OXLEY,https://www.realestate.com.au/property-house-qld-oxley-424782026,Thu 08-Nov-18,0,"<span class=""price""></span>","Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[1],"Secure Parking,Garage Spaces:,1,Courtyard","$2,040",Oxley,Cartwright Property Group,Cartwright Property Group - GRACEVILLE,[2],House,,"- Sorry, no pets","$510,$510,",Not provided,[424782026],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",16 Thornburgh Street
[4],$690 Weekly including pool and garden maintenance!,COME HOME TO YOUR OWN PRIVATE RESORT!,https://www.realestate.com.au/property-house-qld-mount+ommaney-416706573,Tue 23-Oct-18,,"<span class=""price""></span>",,[3],"Garage Spaces:,3",,Mount Ommaney,Rentals - Centenary Real Estate,Centenary Real Estate - Jindalee,[2],House,Pet Friendly,Welcome to your own private resort style home - wait 'til you see what is on offer!,"$690,$690,",Not provided,[416706573],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",3 CUNNINGHAM COURT
[3],$300pw,Ready to move in Early September,https://www.realestate.com.au/property-house-qld-inala-414189635,Available Now,"balcony/patio/terrace,bath","<span class=""price""></span>",,[1],"Carport Spaces:,1",,Inala,Property Management Team,Coulson Real Estate - Inala,[1],House,,"This great 3 bedroom home, is well maintained & is ready to move into, would suit a couple or even a single person. Carport, Fully fenced yard. Security Screens. This property is Water Compliant so full waterage usage will be charged. Inspections are by appointments only.","$300,$300,",https://www.realestate.com.au/floorplan_new.ds?id=414189635&theme=rea.rent,[414189635],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",8 Aquarius Street
[3],$365 Weekly,17/15 James Edward St. Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-423390954,Thu 11-Oct-18,,"<span class=""price""></span>","Ensuite:,1,Toilets:,3",[2],"Remote Garage,Carport Spaces:,1,Garage Spaces:,1",,Richlands,Richlands Rise,Australian Property Management Alliance - Mango Hill,[2],Townhouse,,"This spacious townhouse which is close to the Richlands Railway Station, Woolworths, Local pharmacy, McDonald's, Master's, West Brisbane Tennis Centre and Richlands AMF Bowling. Inala Plaza is only 5min drive away. For your ultimate lifestyle, perfect for commuters, only 2 mins to M5 Centenary Highway.","$365,$365,",Not provided,[423390954],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",17/15 James Edward Street
[3],$315 per week,AIR CONDITIONED MAIN BEDROOM!,https://www.realestate.com.au/property-house-qld-inala-424784758,Mon 08-Oct-18,,"<span class=""price""></span>","Toilets:,1,Floorboards,Air Conditioning",,,"$1,260",Inala,Rental Domain,Rental Domain - GOODNA,[1],House,,"This neat and tidy three bedroom home has an AIR-CONDITIONED main bedroom which is great for shift workers. The bedrooms are spacious  and 1 bedroom has a free standing robe.  The house overlooks a flat, grassy back yard. Close to schools, shops and bus services. Call  our friendly staff today to book in for an inspection!","$315,$315,",Not provided,[424784758],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",25 Rosella Street
[3],LUXURIOUS LIVING $460,SPACIOUS LUXURIOUS TOWNHOME WITH BALCONY,https://www.realestate.com.au/property-townhouse-qld-oxley-424787426,Sat 27-Oct-18,,"<span class=""price""></span>",Air Conditioning,[2],"Garage Spaces:,2,Balcony,Swimming Pool - Inground","$1,840",Oxley,Wistaria Mo,THEONSITEMANAGER - Hendra,[2],Townhouse,Pet Friendly,EXPRESSION OF INTEREST – ,"$460,$460,",Not provided,[424787426],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",8 Valance Street
[3],$365 per week,"Popular Villa in a top location, be quick!",https://www.realestate.com.au/property-townhouse-qld-richlands-424794418,Available Now,,"<span class=""price""></span>","Toilets:,2",[2],"Carport Spaces:,2","$1,460",Richlands,Eric Chen,nextrealty.com.au,[2],Townhouse,,"This nearly new contemporary villa is within the prestigious commuity - Villaggio. It's conveniently situated to all the amenities: schools, supermarkets, shopping centres, bus stop and train station:","$365,$365,",Not provided,[424794418],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",149/88 littleton rd
[3],$395 per week,Townhouse in Oxley,https://www.realestate.com.au/property-house-qld-oxley-424794358,Tue 16-Oct-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport","<span class=""price""></span>",,[1],"Garage Spaces:,1","$1,580",Oxley,Leasing Oxley,Tessa Residential - NINGI,[2],House,,This modern townhouse in Oxley has the following features,"$395,$395,",Not provided,[424794358],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",3/10 Costalot Street
[4],$510 weekly,Well-appointed Family Home!,https://www.realestate.com.au/property-house-qld-oxley-424794786,Tue 02-Oct-18,,"<span class=""price""></span>","Built-in Wardrobes,Dishwasher,Air Conditioning",[2],"Remote Garage,Garage Spaces:,2,Fully Fenced","$2,040",Oxley,Jess Cleveland,Coronis - LUTWYCHE,[2],House,,"Located on a level 404m2, this wonderfully designed 4 bedroom home is perfect for a growing family. ","$510,$510,",Not provided,[424794786],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",3 Krystelle Close
[3],375/week,Modern double garage double air con.  townhouse - Excellent location,https://www.realestate.com.au/property-townhouse-qld-richlands-424788794,Available Now,,"<span class=""price""></span>",Air Conditioning,[2],"Garage Spaces:,2,Swimming Pool - Inground","$1,500",Richlands,Angus Wang,THEONSITEMANAGER - Hendra,[2],Townhouse,,Modern double garage and Double Air Conditioners town home with extra car parks.,,Not provided,[424788794],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",10 McEwan Street
[3],LEASED,"IMMACULATE TOWNHOUSE , THREE BEDROOMS, ENSUITE, DUCTED AIR-CONDITIONING THROUGHOUT, DISHWASHER, PRIVATE COUTYARD, LOCKUP GARAGE",https://www.realestate.com.au/property-townhouse-qld-corinda-404857174,Available Now,,"<span class=""price""></span>","Ensuite:,1,Living Areas:,1,Toilets:,1,Built-in Wardrobes,Dishwasher,Ducted Heating,Ducted Cooling,Air Conditioning",[1],"Garage Spaces:,1,Balcony,Courtyard","$1,760",Corinda,Angus Lilley,Lilley + Power Property Agents - Indooroopilly,[2],Townhouse,,"AVAILABLE NOW - SEE THIS WEEK'S OPEN HOUSES - NO REGISTRATION, PLEASE CHECK THE LISTING REGULARLY FOR UPDATES",,Not provided,[404857174],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",3/709 Oxley Road
