title,price,url,indoor_feature,bed,description,car,median_rent,other_feature,post_code,property_type,property_id,bond,rental_yield,crawl_date,price_des,street_address,agency,bathroom,suburb,floorplan,agent,date_available,outdoor_feature 
FAMILY ENTERTAINERS DELIGHT,"$625,$625,",https://www.realestate.com.au/property-house-qld-sherwood-419328478,"Floorboards,Air Conditioning",[4],"This beautiful Queenslander is opening its doors to a new family! Double french doors at the front, following the breeze to the back entertainers deck through the open plan kitchen, living and dining. Practical space and layout is what makes this the perfect family home. This is a must inspect to believe it! The hardest decision you will have to make is having your morning coffee on the front porch, or the back deck.",[2],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",4075,House,[419328478],"$2,500","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$625 per week,43 Chancellor Street,Ray White Sherwood/Graceville,[2],Sherwood,Not provided,Zoe Wales,Fri 02-Nov-18,"Secure Parking,Garage Spaces:,2,Balcony"
2 BEDROOM UNIT IN THE HEART OF SHERWOOD,"$300,$300,",https://www.realestate.com.au/property-unit-qld-sherwood-424692214,,[2],"This two bedroom unit in the heart of Sherwood is in easy walking distance to Sherwood Train Station, Woolworths, the Sherwood Shopping precinct, parks, bike ways, schools and numerous restaurants.",[1],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",4075,Unit,[424692214],"$1,200","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$300 per week,10/16 McCulla Street,Poulsen Property - Graceville,[1],Sherwood,https://www.realestate.com.au/floorplan_new.ds?id=424692214&theme=rea.rent,Rentals Department,Available Now,"Secure Parking,Garage Spaces:,1,Balcony"
New executive home!,"$900,$900,",https://www.realestate.com.au/property-house-qld-graceville-423691814,"Built-in Wardrobes,Dishwasher,Air Conditioning",[5],"From the premiere street setting to the light filled and open plan indoor and outdoor living spaces; this magnificent newly constructed designer residence exceeds all first impressions by showcasing a spacious, layout with the discerning resident in mind. Intended to provide a relaxed haven, this home is perfectly positioned moments away from local café's, restaurants, cinema and shopping precincts, train station, and quality schools including St Aidan's Anglican Girls School and Brisbane Boys College along with a variety of primary schools, whilst being only 8km from Brisbane's CBD and nearby to University of Queensland.",[2],"<span class=""price""></span>",,4075,House,[423691814],"$3,600","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$900 per week,87 White Street,RE/MAX Riverside - Graceville,[3],Graceville,Not provided,Louise Hood,Fri 05-Oct-18,"Garage Spaces:,2,Swimming Pool - Inground"
Come and See this Spectacular Beauty on Laurel Ave,"$820,$820,",https://www.realestate.com.au/property-house-qld-chelmer-424704598,"Ensuite:,1,Living Areas:,2,Toilets:,3,Intercom,Built-in Wardrobes,Dishwasher,Ducted Vacuum System,Split-system Air Conditioning,Air Conditioning",[4],This charming brick home is spread over two spacious levels offering all the comforts you could ask for.,[2],"<span class=""price""></span>",,4068,House,[424704598],"$4,920","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$820 per week,20 Laurel Avenue,Place - Graceville,[2],Chelmer,Not provided,"Jaclyn Lazarou,Jonathan Najarro",Available Now,"Secure Parking,Garage Spaces:,2,Fully Fenced"
BEAUTIFUL ALMOST NEW DUPLEX!,"$370,$370,",https://www.realestate.com.au/property-duplex+semi+detached-qld-riverhills-424695130,,[2],"This beautiful near new duplex is located in the highly sought after and peaceful suburb of Riverhills. This unit contains 2 Bedrooms, 2 Bathrooms with a Master Ensuite and 1 lock up garage with internal access. Open plan living with elegant outdoor entertaining area and a big back yard.",[1],"<span class=""price""></span>",,4074,Duplex/Semi-Detached,[424695130],"$1,480","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$370 p/w,19B Sawmill Cct,Optime Properties - RIVERHILLS,[2],Riverhills,Not provided,Steve Hoo,Wed 10-Oct-18,"Garage Spaces:,1"
Just Walk Right In And Start Living Here,"$465,$465,",https://www.realestate.com.au/property-house-qld-darra-423638534,,[3],"Positioned on Harcourt Rd Darra this original home is in the heart of a growing area offering a superb lifestyle, moments from popular cafes, the new Darra train and bus interchange with easy access to the Ipswich Motorway and Centenary Highway, local shops and a number of quality schools for all ages. ",[4],"<span class=""price""></span>","Property Type: House Property Features: Unfurnished, Pets Allowed",4076,House,[423638534],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$465 p.w.,24 Harcourt Road,Harcourts Local,[1],Darra,Not provided,"Cassie Turner,Maddison Gleeson",Available Now,"Carport Spaces:,2,Garage Spaces:,2"
LIFESTYLE AND LOCATION,"$320,$320,",https://www.realestate.com.au/property-unit-qld-graceville-424779722,,[2],This super trendy unit is being offered for rent in one of the most tightly held locations in Graceville. ,[1],"<span class=""price""></span>",,4075,Unit,[424779722],"$1,280","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$320 per week,4/225 Oxley Road,Ray White Sherwood/Graceville,[1],Graceville,Not provided,Zoe Wales,Wed 07-Nov-18,"Garage Spaces:,1"
Family Home in Quiet Street with Large Backyard,"$395,$395,",https://www.realestate.com.au/property-house-qld-riverhills-418493518,"Toilets:,1",[3],"This neat and tidy family home is located in a quiet street walking distance to schools, daycare and city bus. Short drive to Middle Park shops and Mt Ommaney shopping centre. ",[2],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",4074,House,[418493518],"$1,580","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$395 per week,5 Miena Close,Brisbane Real Estate - Indooroopilly,[1],Riverhills,Not provided,"Satvir Nassar,Lauren Matbouly",Available Now,"Carport Spaces:,2"
This classic Queenslander is ready for a new family to make it their own with a pool!,"$645,$645,",https://www.realestate.com.au/property-house-qld-corinda-424722202,"Living Areas:,1,Floorboards,Built-in Wardrobes,Air Conditioning",[4],"This is a fabulous family home, offering a great entertaining space, beautiful veranda and a sparkling inground pool. ",[2],"<span class=""price""></span>",,4075,House,[424722202],"$2,580","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$645 per week,65 Gray Avenue,Place - Graceville,[1],Corinda,Not provided,"Jonathan Najarro,Jaclyn Lazarou",Available Now,"Carport Spaces:,2,Deck,Fully Fenced,Swimming Pool - Inground"
Elegance in Central Graceville,"$690,$690,",https://www.realestate.com.au/property-house-qld-graceville-424704634,"Ensuite:,1,Living Areas:,2,Toilets:,3,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning",[3],This character filled property has traditional elegance with modern design to offer all the conveniences you would expect.  Spread over 2 generous levels this beautifully presented home has it all.,,"<span class=""price""></span>",,4075,House,[424704634],"$2,760","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$690 per week,149 Strong Avenue,Place - Graceville,[3],Graceville,Not provided,"Jonathan Najarro,Jaclyn Lazarou",Available Now,"Remote Garage,Deck,Fully Fenced"
Amazing opportunity to secure prime riverfront location,"$1,500,$1,500,",https://www.realestate.com.au/property-house-qld-chelmer-419327482,"Ensuite:,3,Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room,Air Conditioning",[5],"An idyllic lifestyle on the Brisbane River, providing direct access to all the river activities with a jetty. ",[6],"<span class=""price""></span>",,4068,House,[419327482],"$6,000","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]","$1,500 per week",47 Sutton Street,Premium Residential,[5],Chelmer,Not provided,Summer Finlay,Thu 25-Oct-18,"Remote Garage,Secure Parking,Garage Spaces:,3,Open Car Spaces:,3,Balcony,Deck,Fully Fenced,Swimming Pool - Inground"
Inspired Master-Planned Living,"$360,$360,",https://www.realestate.com.au/property-townhouse-qld-richlands-421156430,"Ensuite:,1,Toilets:,3,Floorboards,Broadband Internet Available,Built-in Wardrobes,Reverse-cycle Air Conditioning",[3],"Azure Living is pleased to present to you The Grove Edition, Richlands. A master-planned community of 3 and 4 bedroom terraces featuring an outdoor pool and entertainment area. Surrounded by subtropical landscaping and nestled within the growing Western suburb of Richlands. Spanning over two levels, this contemporary terrace home is an impeccable fusion of space and convenience.",[1],"<span class=""price""></span>",,4077,Townhouse,[421156430],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$360 per week,The Grove /7 Giosam Street,Azure Living - QLD,[2],Richlands,https://www.realestate.com.au/floorplan_new.ds?id=421156430&theme=rea.rent,Syd & Fem Douglas,Available Now,"Remote Garage,Secure Parking,Garage Spaces:,1,Courtyard,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground"
Fabulous Family Home in Fig Tree Pocket,"$700,$700,",https://www.realestate.com.au/property-house-qld-fig+tree+pocket-423298342,"Ensuite:,2,Built-in Wardrobes,Dishwasher,Air Conditioning",[6],"Located in sought after Mandalay Estate, Fig Tree Pocket, this beautiful home will not last.",[4],"<span class=""price""></span>",,4069,House,[423298342],"$2,800","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$700 per week,54 Mandalay Street,JDC Property Group - New Farm,[3],Fig Tree Pocket,Not provided,Leasing Team,Tue 23-Oct-18,"Carport Spaces:,4,Outdoor Entertaining Area,Fully Fenced"
WELL PRESENTED 3 BEDROOM HOUSE,"$285,$285,",https://www.realestate.com.au/property-house-qld-inala-424593666,"Toilets:,1,Floorboards",[3],"This home has been freshly renovated and just awaiting its new tenants!! If you would like to live close to local shops, transport and amenities then this is the home for you.",[1],"<span class=""price""></span>",,4077,House,[424593666],"$1,140","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$285 per week,16 Sunbird Street,Manage My Property,[1],Inala,Not provided,John Lui,Available Now,"Open Car Spaces:,1,Shed"
Very cute and very affordable cottage on Chelmer's high-side... with river views!!!,"$480,$480,",https://www.realestate.com.au/property-house-qld-chelmer-424673114,,[3],This cute but very affordable 3 bedroom cottage is located on Chelmer's much sought after high-side.,,"<span class=""price""></span>",,4068,House,[424673114],"$1,920","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$480 per week,11 Honour Avenue,Cardinal Land,[1],Chelmer,Not provided,Contact Agent Cardinal Land,Available Now,"Secure Parking,Balcony"
Brand New - Ready for Occupancy,"365,365,, 3, 3,",https://www.realestate.com.au/property-townhouse-qld-richlands-424581438,"Toilets:,3,Air Conditioning",[3],"This brand new, 3 bedroom townhouse is available for rent NOW.",[1],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Ceiling fans",4077,Townhouse,[424581438],"$1,620","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",365 + 3 weeks free rent,12/280 Government Road,Raine & Horne - Onsite Sales,[2],Richlands,Not provided,Bob Stalling,Available Now,"Secure Parking,Garage Spaces:,1,Balcony"
Great Location!!,"$300,$300,",https://www.realestate.com.au/property-unit-qld-corinda-424681538,"Toilets:,1,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning",[2],"Come and inspect this great two bedroom, single bathroom property. It is positioned at the top rear of the building. Bathroom previously renovated, remote lock up garage and Air Conditioning and ceiling fans. Located just across the road from Coles supermarket and the Sherwood Services Club, Library and less than 100 meters to the Corinda train station.",[1],"<span class=""price""></span>",0,4075,Unit,[424681538],"$1,200","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$300 per week,5/17 Donaldson Street,Activerealestate.com.au - .,[1],Corinda,Not provided,Contact Rentals,Wed 07-Nov-18,"Remote Garage,Garage Spaces:,1,Balcony"
"MAGNIFICENT HOME IN QUIET, FAMILY FRIENDLY COMMUNITY no pets allowed","$780,$780,",https://www.realestate.com.au/property-house-qld-sherwood-424529854,"Ensuite:,1,Living Areas:,1,Toilets:,3,Intercom,Study,Built-in Wardrobes,Dishwasher,Split-system Heating,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning",[4],THIS IS AN INCREDIBLY SPACIOUS AND BEAUTIFULLY DESIGNED 4 BEDROOM 3 BATHROOM HOME .,[4],"<span class=""price""></span>","Close to Schools, Close to Shops, Close to Transport, Prestige Homes",4075,House,[424529854],"$3,120","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$780,20 Egmont Street,RESTT Property Sales and Rentals - LOGAN CENTRAL,[3],Sherwood,https://www.realestate.com.au/floorplan_new.ds?id=424529854&theme=rea.rent,"Rent Central Sherwood,Ann Marie Lindeblad",Mon 22-Oct-18,"Remote Garage,Garage Spaces:,2,Open Car Spaces:,2,Courtyard,Fully Fenced"
FAMILY HOME WITH POOL IN QUIET LOCATION,"$490,$490,",https://www.realestate.com.au/property-house-qld-jamboree+heights-424308794,"Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[4],"This home is a modern 4 bedroom 2 bathroom family home. It features an open plan Air-Conditioned living area with raked ceiling. Neat and spacious eat-in kitchen which includes integrated dishwasher, stainless appliances and plenty of cupboard and bench space.",[2],"<span class=""price""></span>",,4074,House,[424308794],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$490 per week,33 Pennant St,E Residential,[2],Jamboree Heights,https://www.realestate.com.au/floorplan_new.ds?id=424308794&theme=rea.rent,"Chris Gordon,Iszabel Lees",Available Now,"Carport Spaces:,2,Outdoor Entertaining Area,Swimming Pool - Inground"
CALL TO ARRANGE A PRIVATE VIEWING TODAY!,"$450,$450,",https://www.realestate.com.au/property-house-qld-jindalee-424462110,"Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher",[3],"FRESHLY RENOVATED, SPACIOUS & STYLISH",[2],"<span class=""price""></span>",,4074,House,[424462110],"$1,800","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$450 per week,24 Canowindra St,E Residential,[2],Jindalee,https://www.realestate.com.au/floorplan_new.ds?id=424462110&theme=rea.rent,"Chris Gordon,Megan Kelada",Available Now,"Carport Spaces:,2,Outdoor Entertaining Area"
QUALITY FAMILY HOME IN CONVENIENT LOCATION,"$430,$430,",https://www.realestate.com.au/property-house-qld-oxley-417330350,"Toilets:,2,Workshop,Broadband Internet Available,Built-in Wardrobes,Dishwasher",[4],Located in a quiet location this 4 bedroom 1.5 bathroom home offers flexibility and character.,[1],"<span class=""price""></span>",,4075,House,[417330350],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$430 per week,17 Idriess St,E Residential,[1],Oxley,Not provided,"Chris Gordon,Erin Gordon",Tue 09-Oct-18,"Carport Spaces:,1"
"RECENTLY RENOVATED, NEAT & TIDY, IN GREAT LOCATION","$350,$350,",https://www.realestate.com.au/property-unit-qld-sherwood-424766362,"Toilets:,1,Floorboards,Broadband Internet Available,Built-in Wardrobes,Dishwasher",[2],"This 2 bedroom unit is located in a convenient location only a short walk to the local shops, train station, cafés, restaurants and parks.",[1],"<span class=""price""></span>",,4075,Unit,[424766362],"$1,400","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$350 per week,5/42 Primrose St,E Residential,[1],Sherwood,https://www.realestate.com.au/floorplan_new.ds?id=424766362&theme=rea.rent,Chris Gordon,Available Now,"Garage Spaces:,1,Balcony"
RENOVATED AND AIR CONDITIONED FAMILY HOME WITH HUGE YARD,"$350,$350,",https://www.realestate.com.au/property-house-qld-inala-424766646,,[3],You’ll have to be quick to view one of Inala’s best presented homes currently on the rental market. The property has been renovated throughout and is on a fenced 600m2 block with a huge backyard and secure detached double garage. The property is bordering Richlands and sits across the road from public recreation facilities and greenspace within the Cjgreenfield Park and playing fields. ,[2],"<span class=""price""></span>",,4077,House,[424766646],"$1,400","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$350 per week,240 Freeman Rd,E Residential,[1],Inala,Not provided,Dan Young,Available Now,"Garage Spaces:,2"
GENEROUS SIZE TOWNHOUSE,"$350,$350,",https://www.realestate.com.au/property-unit-qld-richlands-424741930,,[3],A generously sized duplex townhouse design,[2],"<span class=""price""></span>",,4077,Unit,[424741930],"$1,400","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$350 wk,199/25 Farinazzo Street,LJ Hooker - Forest Lake,[2],Richlands,Not provided,LJ Hooker Forest Lake,Thu 04-Oct-18,"Garage Spaces:,1,Open Car Spaces:,1"
1 BEDROOM APARTMENT FOR $310 PER WEEK,"$310,$310,",https://www.realestate.com.au/property-apartment-qld-corinda-424776854,"Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning",[1],If you're looking for a modern apartment with all the modern features in a central location then look no further. This apartment ticks all the boxes from design through to quality appliances and fixtures.,[1],"<span class=""price""></span>",,4075,Apartment,[424776854],"$1,240","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$310 per week,13/719 Oxley  Road,CBS Property Group - FORTITUDE VALLEY,[1],Corinda,Not provided,CBS Property Group,Wed 17-Oct-18,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony"
ONE WEEK FREE RENT & $100 GIFT VOUCHER FOR LEASE START PRIOR TO END OF SEPTEMBER 2018!,"$370,$370,,1,1,",https://www.realestate.com.au/property-townhouse-qld-darra-424493170,"Toilets:,3,Air Conditioning",[3],FOR A LIMITED TIME WE ARE OFFERING 1 WEEK FREE RENT AND $100 GIFT VOUCHER IF YOU START YOUR LEASE PRIOR TO THE END OF SEPTEMBER 2018!,[1],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager",4076,Townhouse,[424493170],"$1,480","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$370 PW-1 WEEK FREE,86/20 Sanflex Street,RAAS Group,[2],Darra,https://www.realestate.com.au/floorplan_new.ds?id=424493170&theme=rea.rent,Steve Dunn,Available Now,"Secure Parking,Garage Spaces:,1,Balcony"
BEAUTIFULLY RENOVATED 3 BEDROOM HOME,"$385,$385,, 1, 1,",https://www.realestate.com.au/property-house-qld-jamboree+heights-424363406,"Toilets:,1,Air Conditioning",[3],"Ray White Centenary proudly offers for rent this beautiful home, recently very tastefully renovated almost throughout, complete with quality fixtures and appliances. With a stunning brand new modern kitchen, fresh paint and new flooring, this is a home to be proud of. ",[1],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops",4074,House,[424363406],"$1,540","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$385 + 1 week FREE RENT,44 Galleon Street,Ray White - Centenary,[1],Jamboree Heights,https://www.realestate.com.au/floorplan_new.ds?id=424363406&theme=rea.rent,Debbie Swales,Available Now,"Carport Spaces:,1"
Huge back yard and centrally located.,"380,380,,00,00,",https://www.realestate.com.au/property-house-qld-jindalee-424574498,,[3],Contact David Brinkwall to view this property - 0418 881 234.,[1],"<span class=""price""></span>",,4074,House,[424574498],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",380.00,54 Curragundi54 Curragundi Road,More Estate Agents - JINDALEE,[1],Jindalee,Not provided,Bridget Mills,Available Now,"Garage Spaces:,1"
RENOVATED HOME WITH A POOL IN THE HEART OF GRACEVILLE,"$490,$490,",https://www.realestate.com.au/property-house-qld-graceville-422078614,"Floorboards,Air Conditioning",[3],"This three bedroom, 2 bathroom home is situated in the heart of Graceville in close proximity to shops, train, restaurants and schools. Modern kitchen with dishwasher. Air-conditioned lounge. Easy access to the rear covered deck from the dining room.",[2],"<span class=""price""></span>","Close to Schools, Close to Shops, Close to Transport, Separate Dining",4075,House,[422078614],"$1,960","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$490 per week,259 Verney Road East,Poulsen Property - Graceville,[2],Graceville,Not provided,Rentals Department,Available Now,"Secure Parking,Carport Spaces:,2,Balcony,Swimming Pool - Inground"
Beautiful Family Home ; INCLUDES SOLAR,"$335,$335,",https://www.realestate.com.au/property-house-qld-inala-409732815,Air Conditioning,[3],"This well presented spacious three bedroom home is close to all amentities such as the Primary School, Public Transport and ONLY mintues away from the motorway to the City. ",[2],"<span class=""price""></span>","Internal Laundry, Close to shops, Close to transport",4077,House,[409732815],"$1,340","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$335 per week,16 Spoonbill Street Inala,Your Choice Realty - Forest Lake,[1],Inala,Not provided,Reception Team,Available Now,"Carport Spaces:,1,Garage Spaces:,1"
IF YOU ARE LOOKING FOR SPACE AND A GRANNY FLAT - THIS HOME IS FOR YOU,"$580,$580,",https://www.realestate.com.au/property-house-qld-riverhills-424594206,"Ensuite:,1,Toilets:,1,Study,Built-in Wardrobes,Pay TV Access,Dishwasher,Air Conditioning",[4],"When you walk into this property you will feel the sense of space.  Offering a large living room with air conditioning, kitchen meals area with dishwasher and electric cooking.",[3],"<span class=""price""></span>",,4074,House,[424594206],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$580 Per Week With A Granny Flat,38 Tigris St,RE/MAX Ignite - RIVERHILLS,[4],Riverhills,Not provided,"Adam Workman,Katy Lightwood",Available Now,"Secure Parking,Carport Spaces:,1,Garage Spaces:,2,Courtyard,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground"
CHARACTER HOME WITH GATED ENTRY,"$420,$420,",https://www.realestate.com.au/property-house-qld-darra-424767566,"Toilets:,2,Air Conditioning",[3],"Ray White Centenary proudly offers for rent this highset colonial style home full of character charm. With high ceilings, VJ walls, stained glass, air con, ceiling fans and dishwasher - this home offers perfect balance of classic features and modern comfort. ",[3],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Formal Lounge",4076,House,[424767566],"$1,680","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$420 per week,18 Shamrock Road,Ray White - Centenary,[1],Darra,https://www.realestate.com.au/floorplan_new.ds?id=424767566&theme=rea.rent,Debbie Swales,Mon 29-Oct-18,"Secure Parking,Carport Spaces:,3"
LOW MAINTENANCE LIVING CLOSE TO ALL AMENITIES,"$320,$320,",https://www.realestate.com.au/property-house-qld-inala-424783442,,[3],**HOW TO INSPECT THE HOME DETAILS BELOW** ,[1],"<span class=""price""></span>","Close to Schools, Close to Shops, Close to Transport",4077,House,[424783442],"$1,280","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$320 per week,54 Aldebaran Street,Ray White Forest Lake,[1],Inala,https://www.realestate.com.au/floorplan_new.ds?id=424783442&theme=rea.rent,Simon Le,Mon 01-Oct-18,"Garage Spaces:,1"
Spacious townhouse 2 minute walk to Aldi shopping centre,"$345,$345,",https://www.realestate.com.au/property-townhouse-qld-oxley-422261534,"Toilets:,2",[3],"Grab this chance to enjoy a quiet and lifestyle home located in a secure-gated, convenient complex with large swimming pool and BBQ facility. This property has 3 large bedrooms all with built-in wardrobes. The Blunder road shopping center is just next to complex. ",[1],"<span class=""price""></span>",,4075,Townhouse,[422261534],"$1,380","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$345 per week,18/11 Oakmont Ave,nextrealty.com.au,[1],Oxley,Not provided,Betty Jia,Mon 19-Nov-18,"Garage Spaces:,1"
OXLEY,"$510,$510,",https://www.realestate.com.au/property-house-qld-oxley-424782026,"Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[4],"- Sorry, no pets",[1],"<span class=""price""></span>",0,4075,House,[424782026],"$2,040","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$510 per week,16 Thornburgh Street,Cartwright Property Group - GRACEVILLE,[2],Oxley,Not provided,Cartwright Property Group,Thu 08-Nov-18,"Secure Parking,Garage Spaces:,1,Courtyard"
SPACIOUS AND COMFORTABLE TOWNHOUSE-Close to Trains,"$355,$355,",https://www.realestate.com.au/property-townhouse-qld-richlands-424774914,"Toilets:,3,Air Conditioning",[3],*** Please contact us to arrange a viewing.,[1],"<span class=""price""></span>","Built-In Wardrobes, Close to Shops, Close to Transport, courtyard,  backyard maintained",4077,Townhouse,[424774914],"$1,420","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$355 per week,10 Yugumbir Street,Raine & Horne - Onsite Sales,[2],Richlands,Not provided,Sharon Wendt,Fri 05-Oct-18,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground"
22/164 Government Rd Richlands,"$380,$380,",https://www.realestate.com.au/property-townhouse-qld-richlands-424775610,,[3],Alton Edition 22/164 Government Road Richlands,[2],"<span class=""price""></span>",,4077,Townhouse,[424775610],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$380 per week,22/164 Government Rd,Azure Living - QLD,[3],Richlands,Not provided,Emily Hood,Tue 06-Nov-18,"Garage Spaces:,2"
IMMACULATE WINDERMERE ESTATE HOME,"$620,$620,",https://www.realestate.com.au/property-house-qld-sinnamon+park-421929766,,[5],"This beautifully designed and maintained home will not last long. Offering spacious, open living areas, lovely easy maintenance gardens and the perfect position, plus a fresh update including a fresh coat of paint, new carpets and kitchen appliances - this stunning home is sure to make you fall in love!",[2],"<span class=""price""></span>",,4073,House,[421929766],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$620 Weekly,70 SINNAMON ROAD,Centenary Real Estate - Jindalee,[3],Sinnamon Park,Not provided,Rentals - Centenary Real Estate,Wed 07-Nov-18,"Remote Garage,Garage Spaces:,2"
Ground floor private unit,"$415,$415,",https://www.realestate.com.au/property-unit-qld-sherwood-424781802,"Intercom,Air Conditioning",[2],Large (80sq.m) high quality ground floor unit with private courtyard and no stairs for access.,[1],"<span class=""price""></span>",,4075,Unit,[424781802],"$1,660","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$415 per week,445 Oxley Road,THEONSITEMANAGER - Hendra,[2],Sherwood,Not provided,Damian Bourke,Available Now,"Garage Spaces:,1,Balcony"
Ready to move in Early September,"$300,$300,",https://www.realestate.com.au/property-house-qld-inala-414189635,,[3],"This great 3 bedroom home, is well maintained & is ready to move into, would suit a couple or even a single person. Carport, Fully fenced yard. Security Screens. This property is Water Compliant so full waterage usage will be charged. Inspections are by appointments only.",[1],"<span class=""price""></span>","balcony/patio/terrace,bath",4077,House,[414189635],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$300pw,8 Aquarius Street,Coulson Real Estate - Inala,[1],Inala,https://www.realestate.com.au/floorplan_new.ds?id=414189635&theme=rea.rent,Property Management Team,Available Now,"Carport Spaces:,1"
Massive 2 bedroom,"$450,$450,",https://www.realestate.com.au/property-apartment-qld-sherwood-424775714,"Ensuite:,1,Intercom,Study,Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Split-system Air Conditioning",[2],"Sherwood Residences offers you the perfect opportunity to live in a secure private landscaped environment close to everything including schools, shopping and sporting facilities!",[1],"<span class=""price""></span>",,4075,Apartment,[424775714],"$1,800","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$450 MASSIVE LUXURY UNIT,6 Quarry Road,JLL QLD Pty Ltd,[2],Sherwood,https://www.realestate.com.au/floorplan_new.ds?id=424775714&theme=rea.rent,Paul Teoh - Sherwood Residences,Wed 10-Oct-18,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony,Swimming Pool - Inground"
17/15 James Edward St. Richlands,"$365,$365,",https://www.realestate.com.au/property-townhouse-qld-richlands-423390954,"Ensuite:,1,Toilets:,3",[3],"This spacious townhouse which is close to the Richlands Railway Station, Woolworths, Local pharmacy, McDonald's, Master's, West Brisbane Tennis Centre and Richlands AMF Bowling. Inala Plaza is only 5min drive away. For your ultimate lifestyle, perfect for commuters, only 2 mins to M5 Centenary Highway.",[2],"<span class=""price""></span>",,4077,Townhouse,[423390954],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$365 Weekly,17/15 James Edward Street,Australian Property Management Alliance - Mango Hill,[2],Richlands,Not provided,Richlands Rise,Thu 11-Oct-18,"Remote Garage,Carport Spaces:,1,Garage Spaces:,1"
